year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
2000,10632359.6198049,8061271.60779079,13553190.1663535,6117972024,173.788954544015,131.763786695452,221.530764004577,22.9351072523975,8844212.42536867,6601202.58661269,11409696.915481,145.212592098105,108.384748405315,187.33512770434,20.1748263291619,1775324.8519022,1244261.37539087,2399259.96184728,29.1489520108578,20.4294527175527,39.3933050700693,4.84951859346796,1737436.50239614,1633251.30136733,1844796.46670457,28.3988958364047,26.6959589707227,30.1537251145915,0.8821740895801,675335.93447632,535418.825387635,831247.379561267,11.0385587221888,8.75157361438165,13.5869758197715,1.23489625125976,2412772.43687246,2234199.4907973,2598110.3082873,39.4374545585935,36.518628755294,42.4668549986051,1.51762968991184,0.17064732632664,0.106773082451703,0.245789520634925,0.0356177897847335,3748455,61.2695675183754,0.230879524418082,0.172665871406935,0.294709435434583,0.0311950420589709
2001,10776110.9956535,8186288.33436456,13715734.0205177,6196893809,173.895363189909,132.103092076151,221.332403672914,22.7972784729605,9100275.55748691,6800695.74626992,11729064.462129,147.508554748193,110.2341126351,190.119226217676,20.4134176265412,1660309.77551182,1181295.57521044,2219553.90454388,26.912360386555,19.1479040309245,35.9772829489342,4.30288961110136,1732577.1879659,1631375.76300308,1836780.12763661,27.9588006728404,26.3257014447104,29.6403356947795,0.845653371925826,653797.294971659,517150.682764063,806219.178675894,10.5504033976203,8.34532103830768,13.0100531576802,1.19133392650538,2386374.48293756,2212204.7313815,2567047.3978614,38.5092040704607,35.698606423893,41.4247440247108,1.46096069416403,0.157421635027665,0.0999984331991647,0.224925226321422,0.0319986252662901,3848055,62.0965134889243,0.225256416802984,0.168871170548685,0.287116299264665,0.0302228253116376
2002,10906011.6059207,8302065.73219944,13859032.2829068,6276734777,173.752946291181,132.267269960504,220.80003019549,22.6188413947823,9306087.52119181,6963783.54950118,11982178.2984512,148.919738395137,111.437252451206,191.743614440102,20.5207693753997,1585507.8108187,1136772.13545674,2107710.0021447,25.3719307789541,18.1910828413764,33.7284193187992,3.97217963185791,1721716.85175093,1622822.30060596,1823494.28175335,27.4301354592814,25.8545622566769,29.0516382568087,0.815658872894054,615487.537099519,486448.350751224,759475.968593781,9.80585541633631,7.75002239275313,12.0998575784459,1.11092005027657,2337204.38885045,2170707.05402687,2509764.09930032,37.2359908756177,34.5833802310884,39.985186382208,1.37820272639307,0.148497583095139,0.0951300451348754,0.211224777697711,0.0297316560765731,4101395,65.3428119191661,0.217935903158326,0.163844929077954,0.277325059144061,0.0290034415561667
2003,11041675.5980302,8429040.34107102,14000940.7631598,6355936462,173.72224634473,132.616812510091,220.281320413863,22.3963781672682,9466717.59117662,7099246.28986871,12169059.1416011,149.571750721304,112.166301165155,192.268065769367,20.4680208245022,1561154.56049891,1115974.13955633,2079873.18198498,24.6658483800136,17.6321099901318,32.8614717943769,3.89358271985206,1691755.76842142,1596380.52510912,1789858.36560534,26.6169395892463,25.1163700998796,28.1604194174422,0.776615466666291,611448.788034297,481015.575836684,757290.902265049,9.62012115271987,7.56797332246026,11.9147022125321,1.11017352206777,2303204.55645571,2137494.24955249,2475011.04433466,36.2370607419661,33.6298869935507,38.9401476734689,1.35484937619119,0.144344252000148,0.0924376733593478,0.205433052417877,0.0289377130748646,4525143,71.1955354974724,0.212058849421994,0.159849911257417,0.26940824894626,0.0279998644142651
2004,11105520.7129173,8498913.43659363,14054778.0121885,6435710463,172.560912688115,132.058666800742,218.387357433058,22.0545551939645,9540171.42631321,7169357.2260049,12243890.8086604,148.695912705861,111.743706543346,190.836876771745,20.209851926127,1552778.31249598,1099707.8106354,2082761.75499855,24.202058651653,17.1403687947553,32.4625361819155,3.91774822609839,1636501.20919149,1544811.14390871,1730796.60628021,25.428446767455,24.003739024465,26.8936369376909,0.73728678039309,602924.057729558,475049.400847479,745807.351734152,9.36841489678368,7.38146011351225,11.5885783865189,1.07450108351098,2239425.26692105,2078045.37640947,2406751.99911953,34.7968616642387,32.2892925086749,37.3968346300903,1.30312868704848,0.142543245563505,0.0907309808972778,0.203674297538612,0.0289269308048263,4826950,75.0025972695783,0.2049436235337,0.154884018130284,0.259971020727715,0.0268559250356543
2005,11156137.0890671,8573367.74629434,14073136.7405519,6516277492,171.20414381928,131.56848763454,215.96896015907,21.5610559716224,9559721.80095013,7215485.9082087,12228114.0655535,146.851360818859,110.840456098255,187.841783282468,19.6744463600433,1594784.4457189,1119055.04799801,2153435.6730119,24.4982302772967,17.1903283433821,33.0799332451539,4.0632987179492,1613831.52361557,1525644.8303113,1704460.38048146,24.7661571441189,23.4128278328283,26.1569643492626,0.700096770260952,641540.552611428,505401.451849819,793668.037330477,9.84520001487113,7.75598418683516,12.1797765412056,1.12984131373397,2255372.076227,2088786.53379569,2428255.4637123,34.61135715899,32.0549046040486,37.2644576093246,1.32916397857824,0.145363185165542,0.0920205780548877,0.208361768431257,0.0297999734380498,5148430,79.0087593157397,0.205370635453434,0.155724191125695,0.259882113813291,0.0266174850965272
2006,11164560.2519341,8625868.18280176,14025120.3333121,6597730533,169.218190953573,130.739928520233,212.574918953757,20.9045801512684,9514788.34868245,7220921.77408934,12119703.22751,144.270229328804,109.488934712613,183.767867445212,18.9777830180739,1648144.7210068,1154024.93863751,2228910.98527243,24.9903842474472,17.4981761492832,33.7963901260371,4.16789930920738,1563507.16370639,1480188.01580006,1649074.93848321,23.6976511223998,22.4348055501293,24.994578518098,0.653058819080046,655441.332290722,521751.528731082,804147.91893325,9.9343452875559,7.90804544261738,12.1882504129432,1.09306734038347,2218948.49599711,2057326.45980901,2386592.79822147,33.6319964099557,31.1823353427188,36.1729353189616,1.2732957361867,0.149935225412478,0.0950186297399263,0.214683451939154,0.0306512131525372,5416209,82.0920007707141,0.201782450116327,0.153855875271699,0.254351896043981,0.0256798839789828
2007,11128263.0301315,8653809.72937959,13908566.8024933,6680020882,166.590243155043,129.547644868868,208.211427002741,20.0932488514228,9552531.42500464,7314770.54135572,12083901.3565768,143.058771709574,109.546050405505,180.968583992981,18.2463407272937,1574124.18672648,1119431.56598536,2105084.52383609,23.5740938869839,16.7646142909928,31.5257592910436,3.77411122055625,1537363.84403305,1457122.27499716,1619725.27325015,23.014356858908,21.8131395206193,24.2473085318441,0.621012563135897,640134.749633259,523871.246494747,767874.401037541,9.58282557706021,7.84235941397087,11.4950898298336,0.932609650460386,2177498.59366631,2033252.94446425,2326615.68614688,32.5971824359682,30.4378231802098,34.8294672613402,1.12045408817339,0.143568120802943,0.0926220794781916,0.203393810250247,0.0283649915817112,5594219,83.7455316206301,0.198519453101297,0.152664613816772,0.248712196010849,0.0245406904949118
2008,11075950.2243567,8704753.88285261,13727927.4846304,6763040153,163.771764972348,128.710663931092,202.984562771535,18.9700567407101,9484126.80031746,7321501.23558217,11921905.7418678,140.288970777024,108.299466520012,176.348537028348,17.3831327813073,1590217.57894266,1174030.94251405,2068554.08999536,23.522459384867,17.366236876985,30.5980013122914,3.38161896148623,1497397.06098887,1421393.68642618,1575351.60899739,22.1408867478724,21.0170818784163,23.2935421549816,0.580775392427979,608278.552155602,497482.764688626,730045.693890696,8.99415852034794,7.35590434825303,10.7946378754953,0.877976706500878,2105675.61314447,1968432.01831911,2247477.13778522,31.1350452682204,29.1057272142017,33.2317580103124,1.05268378614283,0.145556610287451,0.0975628891342913,0.20117485273592,0.0265168342920659,5742609,84.9116502354736,0.192663172512653,0.149741639147989,0.239535858981301,0.0229400779462677
2009,11053336.012312,8767298.35131085,13599749.5693158,6846605069,161.442582139858,128.053221457264,198.634935595929,18.0255491227835,9468187.84489458,7371950.01359179,11822340.0503155,138.331130958234,107.704895535802,172.725520080889,16.6081536492097,1584212.24248503,1197215.7364145,2024560.47473871,23.1454925452289,17.4914365380398,29.5790223801863,3.08843222788022,1466319.21096514,1391313.47159114,1543265.9224644,21.4167342235691,20.3212169764357,22.5406008804566,0.566214488312235,589074.751469173,484333.717376232,703914.872781991,8.60389558814165,7.07407120018056,10.2812250113442,0.818816011679111,2055393.96243431,1923957.12023796,2191110.77007911,30.0206298117107,28.1008923524629,32.0028795000898,0.995519215162003,0.145153980091049,0.0997870809253757,0.197287633581018,0.0249439325707826,5851936,85.4720834782241,0.188270519346026,0.147694671966779,0.232481192844225,0.0216585067977537
