iso3,sex,diabetes,alcohol,undernutrition,smoking,diabetes.sd,alcohol.sd,undernutrition.sd,smoking.sd,inc.15plus,inc.15plus.sd,pop,adults,inc,inc.lo,inc.hi,inc.sd,hiv,hiv.sd,irr,irr.sd,sex,paf.hiv,paf.hiv.sd,sex,paf.dia,paf.dia.sd,sex,paf.alc,paf.alc.sd,sex,paf.smk,paf.smk.sd,sex,paf.und,paf.und.sd,inc.at.hiv,inc.at.hiv.sd,inc.at.dia,inc.at.dia.sd,inc.at.alc,inc.at.alc.sd,inc.at.smk,inc.at.smk.sd,inc.at.und,inc.at.und.sd,inc.at.hiv.num,inc.at.dia.num,inc.at.alc.num,inc.at.smk.num,inc.at.und.num,inc.at.hiv.lo.num,inc.at.hiv.hi.num,inc.at.dia.lo.num,inc.at.dia.hi.num,inc.at.alc.lo.num,inc.at.alc.hi.num,inc.at.smk.lo.num,inc.at.smk.hi.num,inc.at.und.lo.num,inc.at.und.hi.num
AFG,a,0.118999996185303,0.00400000005960465,0.298999996185303,,0.0216836734693878,,,,324.427384251941,64.845794910822,38928341,22647495,192.5182713017,124.068670610525,275.730682748433,38.8275229594864,0.000304842171414394,0.000230702665084039,1.98438511521596,1.0740810888563,a,0.000299833434835639,0.000468877084295546,a,0.055881204513723,0.0163179289708434,a,0.00922451960157649,0.00305506279422685,a,,,a,0.396739846688992,0.00555120948976131,0.0577234145530082,0.0928179403466167,18.1293930092349,6.50206548466317,2.99268676532022,1.17448973447885,,,76.3796694410662,15.4429570360427,22,4105,677,,29733,0,126,727,10347,94,1822,,,19140,42621
AFG,f,0.121999998092651,0.00100000001490116,,,0.0326530592782157,,,,337.878939667009,95.5011126579604,13770033,11004930,196.196663600846,124.068670610525,275.730682748433,55.4547723280008,,,,,f,,,f,0.0570829113560758,0.0199122109849981,f,0.00232398258716119,0.000774448570895222,f,,,f,,,,,19.2871135620968,8.86564960352514,0.785224772354614,0.350998522572249,,,,,,2122,86,,,,,441,5098,19,203,,,,
AFG,m,0.116000003814697,0.00600000023841858,,,0.031122450925866,,,,311,88.1052078095432,14549971,11642565,181.672273730813,124.068670610525,275.730682748433,51.349469420891,,,,,m,,,m,0.0544455864467524,0.0190686371261831,m,0.0137663501243469,0.00454062323423775,m,,,m,,,,,16.93257738494,7.81038996053788,4.28133488867188,1.90401134410404,,,,,,1971,498,,,,,407,4742,111,1169,,,,
AGO,a,0.0819999980926514,0.06,0.186000003814697,,0.024234693877551,,,,600.422179110824,129.387540289577,32866268,17617839,350.210044281427,224.818103099906,502.833350112446,71.179731951553,0.010305124999285,0.000769920455626599,13.3502921586561,3.79905991867316,a,0.111769012464146,0.031790538241555,a,0.0391656812585857,0.0147408296961836,a,0.121181313000082,0.0359944087460579,a,,,a,0.290345342658799,0.00477893695842371,39.14263080436,13.8695805673724,23.51594368764,10.3755989897576,72.75994801902,27.1035705831745,,,101.681855309444,20.7371501091558,12864,4143,12818,,33419,5541,23218,288,12993,1638,35246,,,21421,48041
AGO,f,0.0780000019073486,0.0170000004768372,,,0.0308673479119126,,,,487.708237180772,146.560774901742,11886812,9015322,264.784186457743,224.818103099906,502.833350112446,79.5700638014653,,,,,f,,,f,0.0372423934483934,0.0171250164496878,f,0.0379451181739418,0.0122403010418931,f,,,f,,,,,18.1634220571087,10.2882568287169,18.5061466942292,8.35363359236565,,,,,,1637,1668,,,,,165,4756,321,4102,,,,
AGO,m,0.085,0.106000003814697,,,0.0336734713340292,,,,718,215.929289948639,11526031,8602517,380.133073037706,224.818103099906,502.833350112446,114.233456609708,,,,,m,,,m,0.0404215722506707,0.0185472875556475,m,0.19455451467752,0.0532711649940799,m,,,m,,,,,29.0226888759815,16.4183424143529,139.690141538459,57.9665328477264,,,,,,2496,12016,,,,,239,7335,2683,28212,,,,
ALB,a,0.0740000009536743,0.0590000009536743,0.0359999990463257,0.292000007629395,0.0181122458710962,,,0.0517857123394402,17.5306330384918,1.38373859722423,2877800,2381787,14.9865952631915,12.7102518447226,17.4476520688433,1.20923253924488,0.000497949822781291,4.24345092030999e-05,20.660773423495,15.2091739618432,a,0.00963878189057228,0.00749834438970748,a,0.0355326748949926,0.0120668934095923,a,0.119424039555916,0.035537926911074,a,0.139182317827226,0.0553763086592367,a,0.0733850087592322,0.00157704397770449,0.144452523024187,0.113340763869766,0.622910284460146,0.217820063185871,2.0935790134291,0.646419557510608,2.43995413927583,0.992663312158755,1.09979142466038,0.0918527804153502,4,14,49,58,31,0,12,5,29,20,92,16,126,26,37
ALB,f,0.0709999990463257,0.0209999990463257,,0.0790000009536743,0.0234693872685335,,,0.0188775500472711,8.97094023191284,0.897952571113275,1258040,1178326,7.60524859895582,12.7102518447226,17.4476520688433,0.752388429791763,,,,,f,,,f,0.0340908609418315,0.0138484677076321,f,0.0464162069068523,0.0148540673971298,f,0.0426870105228009,0.0199814199881713,f,,,,,0.305827075963622,0.128552557676376,0.416397017953472,0.140256821084985,0.382942620079082,0.184180648823192,,,,3,4,4,,,,1,7,2,8,1,10,,
ALB,m,0.0769999980926514,0.0989999961853027,,0.505,0.025765307095586,,,0.084693869765924,25,2.59363497517857,1290025,1203461,21.5304135531794,12.7102518447226,17.4476520688433,2.13000717008357,,,,,m,,,m,0.0368451466898099,0.0150502363710135,m,0.184251214030472,0.0510576084905003,m,0.215844538448005,0.0780162397634795,m,,,,,0.921128667245248,0.390159565842681,4.60628035076181,1.36938147090243,5.39611346120012,2.03922237928743,,,,11,55,64,,,,3,22,26,95,24,125,,
AND,a,0.0690000009536743,0.0590000009536743,,0.337999992370605,0.015561225462933,,,0.0642857162319884,3.45584037022568,0.264336972785554,77265,66554,2.9767682650618,2.54699631621841,3.43955202599822,0.227813897836362,,,,,a,,,a,0.0332302848484807,0.0108610079398054,a,0.119424039555916,0.035537926911074,a,0.157037354773152,0.0620806058296462,a,,,,,0.114838559893478,0.0386548231684962,0.412710417072764,0.127153173006353,0.542696030258511,0.219134971773812,,,,0,0,0,,,,0,0,0,0,0,0,,
