iso3,scenario,hiv,measure,date,best,lo,hi
AGO,Baseline,a,inc,2020-01-01,28.7755298210957,24.8757363564889,34.251974085747
AGO,Baseline,a,inc,2020-02-01,28.8366621836216,24.8229423983645,34.3341390256959
AGO,Baseline,a,inc,2020-03-01,28.893764718981,24.7713677460284,34.4156254184921
AGO,Baseline,a,inc,2020-04-01,28.9406063077044,24.7209585583918,34.4964187710545
AGO,Baseline,a,inc,2020-05-01,28.9871288434787,24.6716643973109,34.5765108544432
AGO,Baseline,a,inc,2020-06-01,29.0333061653165,24.623437883812,34.6558956301085
AGO,Baseline,a,inc,2020-07-01,29.0791221547907,24.5762344389798,34.7345674409984
AGO,Baseline,a,inc,2020-08-01,29.1245660751855,24.5300119882286,34.8125202246461
AGO,Baseline,a,inc,2020-09-01,29.1696300384871,24.4847306978017,34.8897472741718
AGO,Baseline,a,inc,2020-10-01,29.2143075787028,24.4403528057729,34.9662412093779
AGO,Baseline,a,inc,2020-11-01,29.2585929162594,24.3968424287777,35.0419939928297
AGO,Baseline,a,inc,2020-12-01,29.302480549971,24.3541653870312,35.1169969818146
AGO,Baseline,a,inc,2021-01-01,29.3459650648203,24.3122891069022,35.191241039751
AGO,Baseline,a,inc,2021-02-01,29.3890410250559,24.2711823991046,35.2647166091126
AGO,Baseline,a,inc,2021-03-01,29.4317029267056,24.2308154837673,35.3445732795606
AGO,Baseline,a,inc,2021-04-01,29.47394519516,24.1911598244949,35.4243855387257
AGO,Baseline,a,inc,2021-05-01,29.5157621815515,24.1521880442656,35.5034728919102
AGO,Baseline,a,inc,2021-06-01,29.5571481760539,24.1138738565324,35.5818237853774
AGO,Baseline,a,inc,2021-07-01,29.5980974178536,24.0761920772917,35.6594264409641
AGO,Baseline,a,inc,2021-08-01,29.6386041145631,24.0391183882869,35.7362688871421
AGO,Baseline,a,inc,2021-09-01,29.6786624378341,24.002629528848,35.8123389939864
AGO,Baseline,a,inc,2021-10-01,29.7182665481973,23.9667030045832,35.8876245385926
AGO,Baseline,a,inc,2021-11-01,29.7574105965766,23.9313171797654,35.9621131623023
AGO,Baseline,a,inc,2021-12-01,29.7960887549884,23.8964512870366,36.0357924969513
AGO,Baseline,a,inc,2022-01-01,29.8342951796256,23.8620852295735,36.1086501307371
AGO,Baseline,a,inc,2022-02-01,29.8720240829086,23.8281997152046,36.1806735979456
AGO,Baseline,a,inc,2022-03-01,29.9092696756842,23.7947761364033,36.2518505106417
AGO,Baseline,a,inc,2022-04-01,29.9460262083379,23.7617965526708,36.3221684495054
AGO,Baseline,a,inc,2022-05-01,29.9822879758039,23.7292436272786,36.3916150341578
AGO,Baseline,a,inc,2022-06-01,30.0180492955264,23.6971007788282,36.4601779571078
AGO,Baseline,a,inc,2022-07-01,30.0586754622219,23.6653518989098,36.5278449463467
AGO,Baseline,a,inc,2022-08-01,30.1042790983754,23.6339815246379,36.5946038117616
AGO,Baseline,a,inc,2022-09-01,30.1569481059461,23.602974780525,36.6604424570943
AGO,Baseline,a,inc,2022-10-01,30.2091461273205,23.5723172049213,36.7253488395472
AGO,Baseline,a,inc,2022-11-01,30.260864968738,23.5419950436745,36.7893110582047
AGO,Baseline,a,inc,2022-12-01,30.3089460537235,23.5119948312058,36.8523172821854
AGO,Baseline,a,inc,2023-01-01,30.3531011641869,23.4823038122661,36.9143558090707
AGO,Baseline,a,inc,2023-02-01,30.3967892075556,23.4529094906233,36.9754150654457
AGO,Baseline,a,inc,2023-03-01,30.4400032214136,23.4238000184219,37.0354835594378
AGO,Baseline,a,inc,2023-04-01,30.4827362370932,23.3949638065016,37.0945499790393
AGO,Baseline,a,inc,2023-05-01,30.5249813366652,23.3663898716523,37.1526030936156
AGO,Baseline,a,inc,2023-06-01,30.5667315890363,23.3380674396573,37.209631849996
AGO,Baseline,a,inc,2023-07-01,30.6079801299717,23.3099863472314,37.2656253023157
AGO,Baseline,a,inc,2023-08-01,30.6487200690084,23.2821365606664,37.3205726724027
AGO,Baseline,a,inc,2023-09-01,30.6889445934017,23.254508712521,37.3744633228837
AGO,Baseline,a,inc,2023-10-01,30.7286468809766,23.2270935152057,37.4272867523693
AGO,Baseline,a,inc,2023-11-01,30.7678201721366,23.1998821858475,37.4790326229372
AGO,Baseline,a,inc,2023-12-01,30.8064577058261,23.1728662647118,37.5296907657248
AGO,Baseline,a,inc,2024-01-01,30.8445527573586,23.146037458197,37.5792511279971
AGO,Baseline,a,inc,2024-02-01,30.8820986928511,23.119388068414,37.6277038860857
AGO,Baseline,a,inc,2024-03-01,30.919088813851,23.0929103173933,37.6750392955068
AGO,Baseline,a,inc,2024-04-01,30.9555165316952,23.0665971257012,37.7212478655138
AGO,Baseline,a,inc,2024-05-01,30.9913753047923,23.0404413144869,37.7663201885572
AGO,Baseline,a,inc,2024-06-01,31.0266585478157,23.0137421285744,37.8102470943056
AGO,Baseline,a,inc,2024-07-01,31.0613598061416,22.9860431507452,37.8530195336542
AGO,Baseline,a,inc,2024-08-01,31.0954726251433,22.9584679486558,37.8946286574208
AGO,Baseline,a,inc,2024-09-01,31.1289905635278,22.9310111553828,37.9350657805412
AGO,Baseline,a,inc,2024-10-01,31.1619073018302,22.9036673553351,37.9743223869281
AGO,Baseline,a,inc,2024-11-01,31.1942164795938,22.8764316739957,38.0123901560119
AGO,Baseline,a,inc,2024-12-01,31.225911807033,22.8492992073358,38.049260908269
AGO,Disruption,a,inc,2020-01-01,28.775529785327,24.875735796482,34.251974058757
AGO,Disruption,a,inc,2020-02-01,28.8366623808945,24.8229418338334,34.3341388965982
