iso3,year,measure,hiv,baseline,sd1,disrupt,sd2,ratio,ratio.sd
"",2020,inc,a,290.867743638002,,290.074923975811,15.090504076519,0.999958594656176,
"",2020,mort,a,28.7457313410331,1.36282595072429,29.0949086243913,1.37504107467517,1.01446304541884,0.00459175492667011
"",2021,inc,a,292.056788400984,,292.122095658441,15.5811520854054,1.00307044210344,
"",2021,mort,a,28.2961315053107,1.33530078652985,28.6908833116745,1.34701424550098,1.0162485069775,0.0045567457569538
"",2022,inc,a,292.475756185934,,293.620400267859,15.9702590723036,1.00690687053032,
"",2022,mort,a,27.6602652439756,1.32304217888718,27.9131279902895,1.33179909354333,1.0114811994787,0.00464874141465075
"",2023,inc,a,292.296274503888,,293.775882982879,16.2585826236275,1.00817166731173,
"",2023,mort,a,26.9651004614263,1.30931830602996,27.1555095818638,1.31610388475076,1.00946032755398,0.00477363913132306
"",2024,inc,a,291.920742922069,,293.440370870206,16.4593240693306,1.00840119305951,
"",2024,mort,a,26.2522672484167,1.29392030760871,26.4148579735529,1.29962405585155,1.008659342038,0.00491051869385271
AGO,2020,inc,a,348.615697353594,8.83059690464734,347.702740512351,8.7735013375146,0.998012897477665,0.0012716813968054
AGO,2020,inc,pos,348.615697353594,8.83059690464734,347.702740512351,8.7735013375146,0.998012897477665,0.0012716813968054
AGO,2020,mort,a,55.0283978589777,4.04331497396384,56.2841914881221,4.10495792650839,1.02851254480386,0.011220457866633
AGO,2020,mort,pos,55.0283978589777,4.04331497396384,56.2841914881221,4.10495792650839,1.02851254480386,0.011220457866633
AGO,2021,inc,a,354.90069443936,10.0819005415926,360.319737050561,10.2267977391604,1.01611221746494,0.00166290539403814
AGO,2021,inc,pos,354.90069443936,10.0819005415926,360.319737050561,10.2267977391604,1.01611221746494,0.00166290539403814
AGO,2021,mort,a,55.7034911711135,4.21653389590993,62.6091698748846,4.57040362487437,1.13153868186244,0.0142345194051881
AGO,2021,mort,pos,55.7034911711135,4.21653389590993,62.6091698748846,4.57040362487437,1.13153868186244,0.0142345194051881
AGO,2022,inc,a,360.660812234212,11.2057270340353,372.139221068426,11.5921083206022,1.03289199108146,0.00206521051445871
AGO,2022,inc,pos,360.660812234212,11.2057270340353,372.139221068426,11.5921083206022,1.03289199108146,0.00206521051445871
AGO,2022,mort,a,56.6073552515076,4.37369859877569,59.900426982841,4.56934131481879,1.06506866956395,0.0132655373004854
AGO,2022,mort,pos,56.6073552515076,4.37369859877569,59.900426982841,4.56934131481879,1.06506866956395,0.0132655373004854
AGO,2023,inc,a,367.012912307272,12.1673769516016,379.279816092676,12.6212054953406,1.03464575991532,0.00236206282728174
AGO,2023,inc,pos,367.012912307272,12.1673769516016,379.279816092676,12.6212054953406,1.03464575991532,0.00236206282728174
AGO,2023,mort,a,57.0770364983722,4.51025425975881,59.4712388376648,4.65254208199649,1.04887000177787,0.0134577827165707
AGO,2023,mort,pos,57.0770364983722,4.51025425975881,59.4712388376648,4.65254208199649,1.04887000177787,0.0134577827165707
AGO,2024,inc,a,372.487149231634,12.9712773269993,384.160771442991,13.4174299963636,1.03267785438242,0.00259279926078114
AGO,2024,inc,pos,372.487149231634,12.9712773269993,384.160771442991,13.4174299963636,1.03267785438242,0.00259279926078114
AGO,2024,mort,a,57.6533229153436,4.62395924972153,59.7413823578807,4.74633199802293,1.0432404358164,0.0137097778773348
AGO,2024,mort,pos,57.6533229153436,4.62395924972153,59.7413823578807,4.74633199802293,1.0432404358164,0.0137097778773348
BGD,2020,inc,a,237.287085332128,5.73555407564099,237.43343524103,5.58656274807542,1.0011714001812,0.00113923435682525
BGD,2020,mort,a,20.4779464924698,1.5232259368099,24.2154774575454,1.7840702758374,1.19149041089535,0.0161465789985922
BGD,2021,inc,a,235.378703344225,5.62900307776317,246.407695661333,5.57050498760743,1.04744270270111,0.00118571424848241
BGD,2021,mort,a,20.313706457209,1.50894604269014,23.6120572159493,1.72167992084354,1.17072040620018,0.015223292264418
BGD,2022,inc,a,233.823967179348,5.54034354923379,246.154270942611,5.71171111089478,1.05336143945898,0.00122271837260123
BGD,2022,mort,a,20.1805854247894,1.49726059137414,21.4686488016369,1.5821240747054,1.07036545487229,0.0124605531182337
BGD,2023,inc,a,232.55773570412,5.4676905361882,242.995765234611,5.70460937271686,1.0455123261953,0.00120971285200524
BGD,2023,mort,a,20.0730982145458,1.4880111226112,21.0621720345472,1.55395285176855,1.05556193441653,0.0120933832968004
BGD,2024,inc,a,231.527299179391,5.40927162342996,240.238365916667,5.65592482637469,1.03824357841443,0.00118836465901498
BGD,2024,mort,a,19.9867604463222,1.48259720122034,20.8162397477452,1.53920528009313,1.04767830365066,0.0119357331877728
CHN,2020,inc,a,55.4493872914286,0.59653709293416,55.5121043986695,0.598239192787053,1.00124760196243,0.000232403779446363
CHN,2020,mort,a,2.13040252812213,0.032324061304603,2.60352202827718,0.0339326154731332,1.22238989747182,0.00060909999267762
CHN,2021,inc,a,54.6184513606107,0.587330980734756,55.0743063632453,0.592338091425864,1.00846476828868,0.000235220271022515
CHN,2021,mort,a,2.09826066219776,0.0318553646308903,2.3177190343393,0.0380973649261578,1.10495475786813,0.000632716213260027
CHN,2022,inc,a,53.8010074542683,0.578288884509033,54.1713599850446,0.581436361665605,1.00700134593234,0.000233942071300261
CHN,2022,mort,a,2.06664055397709,0.031394367697765,2.08309979825572,0.0322165052946764,1.00820919806822,0.000477664737753502
CHN,2023,inc,a,52.9965612880545,0.569401533545864,53.2317597802034,0.571280920346649,1.00455471048075,0.000232669282812263
CHN,2023,mort,a,2.03552364208548,0.0309407199673579,2.04448495382259,0.0312582689014265,1.00463931666135,0.000468950613215285
CHN,2024,inc,a,52.204734481176,0.560662237259064,52.3540671695244,0.561933431398947,1.00297671584116,0.000231868962654543
CHN,2024,mort,a,2.00489570127971,0.0304941605554225,2.01051042045819,0.0306930007653935,1.00303552699899,0.000467020309782489
IDN,2020,inc,a,349.941107765517,3.09185936637417,353.211310762802,3.05401864662765,1.00942188596759,0.00015565859218175
IDN,2020,mort,a,31.4285227682731,0.295918251886625,36.7379646746713,0.359948384702486,1.16909037826068,0.000267885112423201
IDN,2021,inc,a,347.976595296728,3.03596172061663,391.291997760135,3.27493756417554,1.1245775185015,0.000188116276794254
IDN,2021,mort,a,31.2210024811854,0.290806227388358,50.111225622107,0.568432612111521,1.6055806275726,0.000940724968289181
IDN,2022,inc,a,346.328935268048,2.98682867493457,412.641560680882,3.52575927564457,1.19159644159601,0.000221506028844659
IDN,2022,mort,a,31.0566095572895,0.28636609403525,39.3349256729181,0.349803851807189,1.26671637537466,0.000288534578775686
IDN,2023,inc,a,344.945736679136,2.94384271670622,405.539729348448,3.50065330039551,1.17578347232752,0.000215184354654556
IDN,2023,mort,a,30.9287220996879,0.282519143088292,36.9252901023742,0.32999019305968,1.19401937771707,0.000245695980803787
IDN,2024,inc,a,343.893709445453,2.90641998622423,396.640824239469,3.42955780673026,1.1534967385666,0.000203732324007423
IDN,2024,mort,a,30.8302503246871,0.279196440945448,35.9268267532187,0.322676316650919,1.16543855031859,0.000230762083933708
IND,2020,inc,a,219.759546430254,6.63286187959889,217.321661758163,6.55688799375503,0.989786931108586,0.00178155865796891
IND,2020,mort,a,31.1607710042239,0.327375818603106,35.4790830417784,0.400481492729682,1.1387697483847,0.0003245062416294
IND,2021,inc,a,218.011414160202,6.65034454422357,226.249987621685,7.24728766542437,1.03893648022719,0.00212070485114343
IND,2021,mort,a,30.9118891142823,0.322458267271815,40.1001838252313,0.449923833698793,1.29751626858904,0.000465324188546801
IND,2022,inc,a,216.5465439667,6.67135418252204,232.823424997619,7.6230231415375,1.07649811689306,0.00238165645661898
IND,2022,mort,a,30.7580931057316,0.317375417230142,34.8485004526999,0.350692075984876,1.13313366114462,0.000273341736998264
IND,2023,inc,a,215.314956304269,6.69582103845113,230.517523164408,7.55400340814003,1.07192393951406,0.00237787304296306
IND,2023,mort,a,30.6234973938224,0.317278729842601,33.202472420335,0.346486633006605,1.0843543581121,0.000257828160158227
IND,2024,inc,a,214.275885376836,6.72355807782869,227.251414846918,7.48855900619374,1.0618505867428,0.00235835947474473
IND,2024,mort,a,30.4994935564906,0.31827437412772,32.6120477637915,0.344693490275253,1.06940179597074,0.000254930808664166
MMR,2020,inc,a,517.494391163353,12.6926701709042,519.319055597833,12.5940013519436,1.00412031327889,0.00119803092617479
MMR,2020,mort,a,34.7347489290328,2.58269265883969,37.1065617090771,2.68917347468392,1.07468675566399,0.0123690393024821
MMR,2021,inc,a,513.936870211751,12.5955309499713,523.293507286127,12.499563705114,1.01880810022882,0.00121389411910797
MMR,2021,mort,a,34.4766529946305,2.56069391790044,35.9787302987691,2.65094535498561,1.04973777037092,0.0119551398000316
MMR,2022,inc,a,510.827612483667,12.5007094741238,520.53663264573,12.5377455410085,1.01962030819492,0.00122437759399339
MMR,2022,mort,a,34.2670006536316,2.54202559768045,35.1513637843581,2.59734325057995,1.03170150163016,0.0115486930236316
MMR,2023,inc,a,508.289174450027,12.4088470422922,516.340253871306,12.4926481731941,1.01645320325621,0.0012193509886599
MMR,2023,mort,a,34.0987582061913,2.52625764609334,34.8395858519979,2.57117830665535,1.02753521371817,0.0114242930026976
MMR,2024,inc,a,505.88002473404,12.3203862541615,512.184069672728,12.4164496805384,1.01307146920654,0.00121066335810016
