iso3,scenario,hiv,measure,variable,best,lo,hi
BGD,Disruption,a,inc,excess20,-0.132190626449857,-0.59895780063915,0.17278419122177
BGD,Disruption,a,inc,excess2025,3.34496219594518,2.45211503328671,3.76004049204067
CHN,Disruption,a,inc,excess20,0.107772217477931,0.0305145501927784,0.154757066236599
CHN,Disruption,a,inc,excess2025,0.436576336754424,0.373276465385194,0.480446433993462
IDN,Disruption,a,inc,excess20,0.933598305990913,0.556297201402216,1.02753072100465
IDN,Disruption,a,inc,excess2025,13.3647200598016,10.9515770782008,13.9767562586976
IND,Disruption,a,inc,excess20,-1.0718585572853,-1.38997740787362,-0.826353016320165
IND,Disruption,a,inc,excess2025,4.59753289867062,3.17695726673033,6.28239433231
PHL,Disruption,a,inc,excess20,0.918878415362312,0.00232104066618585,1.62195044239282
PHL,Disruption,a,inc,excess2025,21.6437014673598,15.935275672356,23.9621784789003
RUS,Disruption,a,inc,excess20,-1.00692799910567,-1.30051866401556,-0.678001267770034
RUS,Disruption,a,inc,excess2025,0.7222152926734,0.145661366809264,3.29178769289015
ZAF,Disruption,a,inc,excess20,-0.872450688003312,-1.34841966315282,-0.30107710328571
ZAF,Disruption,a,inc,excess2025,2.49424605146923,0.702416040577439,3.67266332117781
ZAF,Disruption,pos,inc,excess20,-0.442366344815825,-0.647222156518917,-0.284010222442047
ZAF,Disruption,pos,inc,excess2025,0.928712421796274,-0.0103464739375675,1.75782643930998
BGD,Disruption,a,mort,excess20,17.8282777184796,11.7995459618554,21.7230844131902
BGD,Disruption,a,mort,excess2025,9.66044488149238,7.79678504553983,10.5633383570748
CHN,Disruption,a,mort,excess20,22.2203282040198,19.8917031690082,24.8334531346946
CHN,Disruption,a,mort,excess2025,6.97685370525687,6.7735297071149,7.18759468631443
IDN,Disruption,a,mort,excess20,17.3553998966454,12.7869255842635,18.5067792599186
IDN,Disruption,a,mort,excess2025,28.4117301106311,23.8530252637417,29.6548511185376
IND,Disruption,a,mort,excess20,14.0063985690799,9.11139643940186,19.2430441322283
IND,Disruption,a,mort,excess2025,14.6046331869433,11.4476813752887,17.2941489390197
PHL,Disruption,a,mort,excess20,32.4623535359972,22.3067644395737,39.1641607788779
PHL,Disruption,a,mort,excess2025,46.149400826174,35.3374719523343,51.230049597169
RUS,Disruption,a,mort,excess20,8.10237307317856,6.47508207562355,9.31667043196385
RUS,Disruption,a,mort,excess2025,7.36154339967054,6.13756672054674,8.57653031461848
ZAF,Disruption,a,mort,excess20,12.6049889016383,6.38158370463002,24.2386401819539
ZAF,Disruption,a,mort,excess2025,8.69696310902997,5.57941083529339,12.9252720160945
ZAF,Disruption,pos,mort,excess20,12.0244333803949,6.18385292835983,22.9878025257212
ZAF,Disruption,pos,mort,excess2025,6.95279668713137,4.92128638996402,11.1271068289381
