iso3,inc.bc,inc.bc.sd,inc.bc.lo,inc.bc.hi
ABW,0.883970309646507,0.101529950580505,0.696239482825295,1.09377015019429
AFG,118.443188421562,26.0210790581871,73.0461282100511,174.619011851076
AGO,269.495228947909,59.5966656328816,165.59111822126,398.212350958113
AIA,15.7388325417733,3.43323512463583,9.74440374932665,23.1467952806574
ALB,10.3005545057187,1.21224849421931,8.06244873973823,12.8086168777375
AND,1.22148416591884,0.14029569279335,0.962074687668672,1.51138885535907
ARE,0.333983366981129,0.0383602417120376,0.263054566361152,0.413250370057581
ARG,22.545130695746,2.65328441519554,17.646486608023,28.0345656768491
ARM,13.7182490422029,2.14046306688756,9.84766273652057,18.220289062378
ASM,3.39697251477255,0.39016519874532,2.67554853564878,4.20320248570254
ATG,1.92749722407726,0.221386053093665,1.51814991882132,2.38496551863184
AUS,3.64929869447637,0.419146561892846,2.87428742935225,4.51541509077564
AUT,3.02842806327043,0.347835383434335,2.38527297370579,3.74718864450183
AZE,39.1320504368498,6.10578714776036,28.0907729909502,51.9741391747488
BDI,64.9970881050434,14.1783251949715,40.2403960803699,95.5885750193367
BEL,4.38925051778838,0.504135018216526,3.45709332115139,5.43098502371441
BEN,41.6754634938601,9.15578633279025,25.7033903265383,61.4429078657148
BFA,32.0926894458188,7.0006305463688,19.8693692217588,47.1978693082674
BGD,144.885850694105,23.4168081969194,102.667289011286,194.250108224913
BGR,12.5588886459238,1.95956766968248,9.01541760058498,16.6804543269521
BHR,6.10112885987288,0.700755788818178,4.80541408200906,7.54915529462691
BHS,7.19988206524017,0.826955003230393,5.67082085613178,8.90868281618529
BIH,19.092727480926,2.97904476681732,13.7057163287973,25.3585347744811
BLR,19.9652814430991,3.11518965849791,14.3320754279931,26.5174375450881
BLZ,18.5876412448855,2.18753661248928,14.5488965536181,23.113490533848
BMU,4.54665621118553,0.522214123473007,3.58107024760827,5.62574892949524
BOL,68.8929001305815,14.8776357957,42.8822083131527,100.965054229158
BRA,32.4797622629131,3.78196759512905,25.4925976357856,40.3000485091076
BRB,1.97051144505992,0.226326526413832,1.55202909404075,2.43818863736445
BRN,55.2267433578174,6.34316386269093,43.4977458455161,68.3337821008134
BTN,82.4569488752399,12.6888172458008,59.4835258270632,109.119896303845
BWA,162.269250985964,24.7277766002739,117.45946636036,214.193880198449
CAF,352.845998186876,76.9690681827585,218.408252541071,518.872325534533
CAN,2.63813121900011,0.303007159139858,2.07786460374693,3.26425971703441
CHE,2.83528091716202,0.32565113133316,2.2331450525905,3.50820043939208
CHL,9.28168295658786,1.06606387296325,7.31050090299661,11.4845703684287
CHN,45.4594768558825,5.30552628029812,35.6588715528517,56.4313620003734
CIV,88.7843510474698,19.6905903298908,54.4742935881432,131.330132226051
CMR,121.370174688026,26.6641159528398,74.8511050144631,178.934068223992
COD,217.819881727244,47.5147611546534,134.840720915779,320.324465596624
COG,233.550818832821,53.0809665153468,141.33932854229,348.478994021909
COK,10.7571635128192,1.23553276385458,8.47262678456323,13.3102351859042
COL,25.4385668003001,3.96918823554545,18.2610420430112,33.7869005061332
COM,23.8773734496423,5.20855895915806,14.7831481012498,35.1159055882149
CPV,28.6836435403214,4.4139580204152,20.6923935435246,37.9590109484381
CRI,7.54182915045435,1.1605679459952,5.44071329878771,9.98064913090056
CUB,4.56419301064422,0.53714934486371,3.57248793045048,5.67552306603307
CUW,5.81715778256539,0.668139795802698,4.58175098339488,7.1977874474172
CYM,1.43606168715336,0.164941367980496,1.13108183620779,1.77689375228838
CYP,2.18872671407485,0.251390021462503,1.72390139271065,2.70819461685081
CZE,2.76727366439048,0.317840039786691,2.1795806970653,3.42405251369504
DEU,3.22951672526943,0.370931772184341,2.54365583806909,3.99600317513422
DJI,99.3365633216291,15.4995177830174,71.3069990244786,131.934803572587
DMA,34.3851612089535,3.94936762032632,27.082564314837,42.5459275412992
DNK,2.44409529706708,0.280720825142304,1.92503664025724,3.0241717774889
DOM,30.7222209934779,4.79359859753191,22.0538704462629,40.8044878553195
DZA,15.1927675644747,2.37053269375138,10.9061428061565,20.178708400891
ECU,34.0609353606154,5.31453933652559,24.4505331705166,45.2388593022973
EGY,4.72887523672182,0.509244195753766,3.78368372082483,5.77785792112845
ERI,42.1369065746276,14.5235552743416,18.6580056360373,75.0106345604396
ESP,4.33791482461411,0.498238767704353,3.41665995736746,5.36746546414962
EST,7.9683545654734,0.915219251610362,6.27608973004478,9.85954176536631
ETH,75.1954624837164,14.1024528258775,50.1367163490789,105.247891645641
FIN,2.00995628028837,0.23085703171214,1.5830969231594,2.48699522001221
FJI,33.0735486687912,5.08949482672897,23.859241860025,43.7684381814851
FRA,4.60808491665357,0.491780077547254,3.69484126849773,5.62066178543078
FSM,55.288483707194,8.50802115682791,39.884820745046,73.1666764673501
GAB,386.654497664509,84.945089591058,238.413048451959,569.99339698543
GBR,3.064123594118,0.305099486110214,2.49541104344298,3.69034077763089
GEO,45.5962422061124,5.68931742311871,35.1318890302708,57.4032298257726
GHA,108.752092560493,35.4822521538115,50.7108394066068,188.528114412735
GIN,110.92417788655,24.3692089069221,68.409366816565,163.534212592632
GMB,119.327277977503,19.8867440503223,83.5736374096375,161.339256443758
GNB,287.597165071218,62.7358278718833,178.027726961678,422.929783088479
GNQ,205.476488745556,45.1416415708989,126.713616325635,302.923065054981
GRC,3.0152256083577,0.346318992464862,2.3748743630918,3.73085275236284
GRD,2.27747422564009,0.268030687000655,1.78262667710391,2.83201445682505
GRL,109.718633996714,12.6019249355802,86.415976672285,135.757565922107
