iso3,scenario,hiv,measure,date,best,lo,hi
AGO,Baseline,a,inc,2020-01-01,29.2999289968916,18.7714686074491,42.1664011681564
AGO,Baseline,a,inc,2020-02-01,29.3163976800535,18.7682915026048,42.1818846633517
AGO,Baseline,a,inc,2020-03-01,29.3325796016584,18.7649841939224,42.196988641395
AGO,Baseline,a,inc,2020-04-01,29.3464414880953,18.7615491334437,42.2117155968595
AGO,Baseline,a,inc,2020-05-01,29.3502968656558,18.7579887003513,42.2260682320602
AGO,Baseline,a,inc,2020-06-01,29.3540155060282,18.7543053418745,42.2400488255932
AGO,Baseline,a,inc,2020-07-01,29.3575988377848,18.7505014016854,42.2536598377621
AGO,Baseline,a,inc,2020-08-01,29.3610481989377,18.7465792758709,42.2669034876872
AGO,Baseline,a,inc,2020-09-01,29.3643648966993,18.7425413412454,42.2797819138451
AGO,Baseline,a,inc,2020-10-01,29.3675501083956,18.7383898657764,42.2922972103533
AGO,Baseline,a,inc,2020-11-01,29.370604958542,18.7341271867116,42.3044514492682
AGO,Baseline,a,inc,2020-12-01,29.3735305211356,18.7297555406285,42.3343828166258
AGO,Baseline,a,inc,2021-01-01,29.37632776114,18.7252771279063,42.3667007394913
AGO,Baseline,a,inc,2021-02-01,29.3789976843386,18.7206941176226,42.398426051183
AGO,Baseline,a,inc,2021-03-01,29.381541109384,18.7160086403536,42.4295586445814
AGO,Baseline,a,inc,2021-04-01,29.3852772387345,18.7112228005971,42.4600984505802
AGO,Baseline,a,inc,2021-05-01,29.3987872662686,18.7063386310146,42.4900455493985
AGO,Baseline,a,inc,2021-06-01,29.4119174370718,18.7013581957949,42.5194000427488
AGO,Baseline,a,inc,2021-07-01,29.4246688247757,18.6962834533504,42.5481621513071
AGO,Baseline,a,inc,2021-08-01,29.4370426021714,18.6911163780133,42.5763321656552
AGO,Baseline,a,inc,2021-09-01,29.4490398964941,18.6858589302302,42.6039104076729
AGO,Baseline,a,inc,2021-10-01,29.4606619957392,18.6805129363665,42.6308974325659
AGO,Baseline,a,inc,2021-11-01,29.4623884416891,18.6750803232616,42.6572936660923
AGO,Baseline,a,inc,2021-12-01,29.4581346871653,18.6695628722803,42.6830997990025
AGO,Baseline,a,inc,2022-01-01,29.4537503270927,18.6639624302708,42.7083164386755
AGO,Baseline,a,inc,2022-02-01,29.4578998315242,18.6582807450723,42.7329443580632
AGO,Baseline,a,inc,2022-03-01,29.466068122153,18.6525195208499,42.756984487913
AGO,Baseline,a,inc,2022-04-01,29.4739010069267,18.6466805730577,42.7804375292906
AGO,Baseline,a,inc,2022-05-01,29.481399874658,18.6407654667694,42.8033047048212
AGO,Baseline,a,inc,2022-06-01,29.4885661017415,18.6347760275109,42.8255866645873
AGO,Baseline,a,inc,2022-07-01,29.4954011245575,18.6287137662407,42.8472848625424
AGO,Baseline,a,inc,2022-08-01,29.5019063632956,18.622580353077,42.8684002715115
AGO,Baseline,a,inc,2022-09-01,29.5080832674353,18.6163774523873,42.8854727281664
AGO,Baseline,a,inc,2022-10-01,29.5139333530074,18.6101065850886,42.8994911545111
AGO,Baseline,a,inc,2022-11-01,29.5194580921213,18.6037692476809,42.9129914859414
AGO,Baseline,a,inc,2022-12-01,29.5246590072798,18.5973671374176,42.9259751423328
AGO,Baseline,a,inc,2023-01-01,29.5295376725376,18.5909016936901,42.9384440225377
AGO,Baseline,a,inc,2023-02-01,29.53409566614,18.584374330813,42.9504000791413
AGO,Baseline,a,inc,2023-03-01,29.5383345376899,18.5777867236086,42.9618447331593
AGO,Baseline,a,inc,2023-04-01,29.5422558681302,18.5711401580371,42.9727801404603
AGO,Baseline,a,inc,2023-05-01,29.54586141292,18.5644360922539,42.9832082880488
AGO,Baseline,a,inc,2023-06-01,29.5491527045161,18.5576760952076,42.99313074802
AGO,Baseline,a,inc,2023-07-01,29.5521313807129,18.5508614678776,43.0025496689936
