iso3,year,pop,c.newinc
ANT,1992,190412,
ANT,1993,190982,
ANT,1994,190940,
ANT,1995,190145,
ANT,1996,188567,5
ANT,1997,186347,14
ANT,1998,183800,7
ANT,1999,181255,4
ANT,2000,179098,5
ANT,2001,177318,9
ANT,2002,175954,15
ANT,2003,175372,9
ANT,2004,175941,11
ANT,2005,177971,
ANT,2006,181602,5
ANT,2007,186630,
ANT,2008,192591,
ANT,2009,198662,
ARE,1980,1019507,522
ARE,1981,1096602,638
ARE,1982,1164816,597
ARE,1983,1228457,507
ARE,1984,1293970,534
ARE,1985,1366165,568
ARE,1986,1446386,464
ARE,1987,1533526,818
ARE,1988,1627068,339
ARE,1989,1725676,308
ARE,1990,1828437,285
ARE,1991,1937159,234
ARE,1992,2052892,227
ARE,1993,2173135,
ARE,1994,2294377,426
ARE,1995,2415099,
ARE,1996,2539121,507
ARE,1997,2671361,
ARE,1998,2813214,773
ARE,1999,2966029,66
ARE,2000,3134067,115
ARE,2001,3302722,74
ARE,2002,3478769,90
ARE,2003,3711931,117
ARE,2004,4068577,92
ARE,2005,4588222,103
ARE,2006,5300172,90
ARE,2007,6168846,97
ARE,2008,7089486,93
ARE,2009,7917368,116
ARE,2010,8549998,131
ARE,2011,8946778,103
ARE,2012,9141598,79
ARE,2013,9197908,81
ARE,2014,9214182,60
ARE,2015,9262896,61
ARE,2016,9360975,64
ARE,2017,9487206,66
ARE,2018,9630966,82
ARE,2019,9770526,80
ARE,2020,9890400,68
ARG,1980,27896532,16406
ARG,1981,28338514,16693
ARG,1982,28794550,17292
ARG,1983,29262049,17305
ARG,1984,29737097,16359
ARG,1985,30216284,15987
ARG,1986,30698964,14681
ARG,1987,31184411,13368
ARG,1988,31668939,13267
ARG,1989,32148137,12636
ARG,1990,32618648,12309
ARG,1991,33079002,12185
ARG,1992,33529320,12606
ARG,1993,33970103,13887
ARG,1994,34402669,13683
ARG,1995,34828168,13450
ARG,1996,35246376,13397
ARG,1997,35657438,12621
ARG,1998,36063451,12276
ARG,1999,36467218,11871
ARG,2000,36870796,11767
ARG,2001,37275644,11456
ARG,2002,37681743,11548
ARG,2003,38087866,10844
ARG,2004,38491970,11413
ARG,2005,38892924,10576
ARG,2006,39289876,9675
ARG,2007,39684303,10227
ARG,2008,40080159,9196
ARG,2009,40482786,7701
ARG,2010,40895751,7336
ARG,2011,41320497,9733
ARG,2012,41755188,8758
ARG,2013,42196034,8933
ARG,2014,42637508,9195
ARG,2015,43075416,9601
ARG,2016,43508459,10347
ARG,2017,43937143,10170
ARG,2018,44361150,10320
ARG,2019,44780675,11446
ARG,2020,45195777,9322
ARM,1980,3099759,756
ARM,1981,3148096,924
ARM,1982,3193696,759
ARM,1983,3238592,702
ARM,1984,3285593,774
ARM,1985,3335935,768
ARM,1986,3392264,832
ARM,1987,3451947,766
ARM,1988,3504667,651
ARM,1989,3536473,649
ARM,1990,3538164,590
ARM,1991,3505249,741
ARM,1992,3442820,235
ARM,1993,3363111,590
ARM,1994,3283664,753
ARM,1995,3217349,1000
ARM,1996,3168213,928
ARM,1997,3133081,1051
ARM,1998,3108691,1381
ARM,1999,3089020,1488
ARM,2000,3069597,1333
ARM,2001,3050686,1389
ARM,2002,3033976,1433
ARM,2003,3017938,1538
ARM,2004,3000715,1660
ARM,2005,2981262,2206
ARM,2006,2958301,1767
ARM,2007,2932615,1682
ARM,2008,2907615,1655
ARM,2009,2888094,1560
ARM,2010,2877314,1410
ARM,2011,2876536,1261
ARM,2012,2884239,1213
ARM,2013,2897593,1397
ARM,2014,2912403,1329
ARM,2015,2925559,1171
ARM,2016,2936147,1027
ARM,2017,2944789,841
ARM,2018,2951741,734
ARM,2019,2957728,621
ARM,2020,2963234,394
ASM,1980,32648,2
ASM,1981,33697,6
ASM,1982,34969,6
ASM,1983,36413,8
ASM,1984,37946,12
ASM,1985,39521,5
ASM,1986,41114,8
ASM,1987,42741,9
ASM,1988,44346,13
ASM,1989,45894,5
ASM,1990,47351,9
ASM,1991,48682,3
ASM,1992,49900,1
ASM,1993,51025,4
ASM,1994,52099,4
ASM,1995,53158,
ASM,1996,54209,0
ASM,1997,55227,6
ASM,1998,56180,3
ASM,1999,57049,4
ASM,2000,57816,3
ASM,2001,58496,3
ASM,2002,59077,2
ASM,2003,59495,3
ASM,2004,59684,5
ASM,2005,59557,6
ASM,2006,59109,4
ASM,2007,58367,3
ASM,2008,57490,3
ASM,2009,56675,4
ASM,2010,56084,4
ASM,2011,55755,3
ASM,2012,55669,
ASM,2013,55717,
ASM,2014,55791,
ASM,2015,55806,4
ASM,2016,55739,
ASM,2017,55617,5
ASM,2018,55461,0
ASM,2019,55312,1
ASM,2020,55197,3
ATG,1980,61861,8
ATG,1981,61789,3
ATG,1982,61780,0
ATG,1983,61779,1
ATG,1984,61784,3
ATG,1985,61785,2
ATG,1986,61754,7
ATG,1987,61713,0
ATG,1988,61758,3
ATG,1989,62007,3
ATG,1990,62533,1
ATG,1991,63363,0
ATG,1992,64459,6
ATG,1993,65777,
ATG,1994,67201,
ATG,1995,68672,0
ATG,1996,70176,3
ATG,1997,71707,4
ATG,1998,73219,4
ATG,1999,74674,3
ATG,2000,76007,4
ATG,2001,77212,1
ATG,2002,78298,4
ATG,2003,79311,1
ATG,2004,80347,
ATG,2005,81462,6
ATG,2006,82715,4
ATG,2007,84029,2
ATG,2008,85394,1
ATG,2009,86743,3
ATG,2010,88030,7
ATG,2011,89250,6
ATG,2012,90407,3
ATG,2013,91510,10
ATG,2014,92562,3
ATG,2015,93571,
ATG,2016,94520,3
ATG,2017,95425,1
ATG,2018,96282,5
ATG,2019,97115,0
ATG,2020,97928,2
AUS,1980,14588400,1457
AUS,1981,14777241,1386
AUS,1982,14979203,1270
AUS,1983,15194644,1219
AUS,1984,15423156,1299
AUS,1985,15663672,1088
AUS,1986,15917580,906
AUS,1987,16183159,907
