iso3,scenario,hiv,measure,variable,best,lo,hi
MMR,Disruption,a,mort,excess2025,21.1147272469591,16.504352495547,25.6534091690981
PAK,Disruption,a,mort,excess20,8.51392022124571,4.57757207419386,11.8941704649754
PAK,Disruption,a,mort,excess2025,7.62178823809441,5.32894975088598,8.94872707631673
PER,Disruption,a,mort,excess20,21.2420892537266,13.3462358642849,30.3078151148222
PER,Disruption,a,mort,excess2025,24.1384302989684,18.036064224007,28.626699997293
PHL,Disruption,a,mort,excess20,15.5108356806209,9.5240300184357,21.8407476221327
PHL,Disruption,a,mort,excess2025,31.0878265581275,21.2763031393389,39.688158069442
RUS,Disruption,a,mort,excess20,8.10237307317856,6.47508207562355,9.31667043196385
RUS,Disruption,a,mort,excess2025,7.36154339967054,6.13756672054674,8.57653031461848
UGA,Disruption,a,mort,excess20,4.99016682387896,3.26444323995108,6.5740479345493
UGA,Disruption,a,mort,excess2025,2.83717163643604,2.22370551005721,3.32949524972701
UGA,Disruption,pos,mort,excess20,4.71872083188956,2.88494119068012,6.21829262232806
UGA,Disruption,pos,mort,excess2025,2.62755622354056,2.05491624559434,3.09223697807874
UKR,Disruption,a,mort,excess20,17.6442123978471,12.8142611264946,23.1988713815244
UKR,Disruption,a,mort,excess2025,15.9566491364458,10.860376588149,20.8486626097801
VNM,Disruption,a,mort,excess20,10.0798718124296,6.389947961617,13.1673721906105
VNM,Disruption,a,mort,excess2025,13.1483000000739,10.5160419740003,15.5940432041803
ZAF,Disruption,a,mort,excess20,1.09211071946144,0.483097973890672,2.33084081641272
ZAF,Disruption,a,mort,excess2025,0.82050743425689,0.365831979346721,1.42481008994565
ZAF,Disruption,pos,mort,excess20,0.825621272461363,0.416463759730921,1.98992564072256
ZAF,Disruption,pos,mort,excess2025,0.427713454850165,0.200130056186686,0.957978451464317
