iso3,scenario,hiv,measure,variable,best,lo,hi
AGO,Disruption,a,inc,excess20,-0.505056012866395,-0.596097653837462,-0.459919097934595
AGO,Disruption,a,inc,excess2025,2.961922766586,1.8802835757741,3.84497313637912
AGO,Disruption,pos,inc,excess20,-0.371766332723833,-0.867463860873289,-0.205167819142971
AGO,Disruption,pos,inc,excess2025,2.24827713048673,0.736263621538206,4.07846106880061
BGD,Disruption,a,inc,excess20,-0.655588027433807,-1.35037201543519,-0.290672144937566
BGD,Disruption,a,inc,excess2025,4.24857441962432,3.1456810013605,4.9873370735526
BRA,Disruption,a,inc,excess20,-1.78390973190602,-2.19827684012346,-1.59594141819974
BRA,Disruption,a,inc,excess2025,3.6809086292942,2.8819418256088,3.945539441002
BRA,Disruption,pos,inc,excess20,-2.02248116722886,-2.76809197170067,-1.68791124307752
BRA,Disruption,pos,inc,excess2025,3.06624357416965,2.38494338285193,3.56275460437569
CHN,Disruption,a,inc,excess20,0.512526836096483,0.351889497357464,0.693937212222653
CHN,Disruption,a,inc,excess2025,1.04967843875245,0.86628929695941,1.31433522154184
IDN,Disruption,a,inc,excess20,1.48136413144655,0.720187216340118,2.06595141694221
IDN,Disruption,a,inc,excess2025,17.4739823267,11.9447229091777,21.1050721791058
IND,Disruption,a,inc,excess20,-1.97641342137616,-2.67561505662885,-1.5388612886502
IND,Disruption,a,inc,excess2025,7.22095068491568,4.49056477590717,9.11964507771234
KEN,Disruption,a,inc,excess20,0.126602390117259,-0.407141886655236,0.604668953175774
KEN,Disruption,a,inc,excess2025,3.4010372726214,1.88492419824333,4.16837947197082
KEN,Disruption,pos,inc,excess20,0.409313638230158,-0.428766306291139,1.2975464096563
KEN,Disruption,pos,inc,excess2025,3.2858593292405,1.75450043349087,4.13412713322522
MMR,Disruption,a,inc,excess20,0.865874148469947,0.486444068178714,1.27950661821293
MMR,Disruption,a,inc,excess2025,12.6714804818615,9.53955677510901,15.3575162034772
PAK,Disruption,a,inc,excess20,-0.107726817983445,-0.705857708797232,0.377819071528017
PAK,Disruption,a,inc,excess2025,3.91688079479986,2.46163216979284,4.69479493905859
PER,Disruption,a,inc,excess20,0.43906418818016,-0.774166897551815,1.44345627621896
PER,Disruption,a,inc,excess2025,10.3392796433649,5.76887327141959,13.809325176558
PHL,Disruption,a,inc,excess20,-0.650143687206506,-1.56965757622023,0.231653568514315
PHL,Disruption,a,inc,excess2025,17.6318619707395,11.194690624263,23.3098158132337
RUS,Disruption,a,inc,excess20,-1.00692799910567,-1.30051866401556,-0.678001267770034
RUS,Disruption,a,inc,excess2025,0.7222152926734,0.145661366809264,3.29178769289015
UGA,Disruption,a,inc,excess20,0.290227871597803,-0.103591544408995,0.723963959818616
UGA,Disruption,a,inc,excess2025,1.46193769705805,1.05890915300975,1.82514428931634
UGA,Disruption,pos,inc,excess20,0.596303277418264,-0.00949897664836995,1.32315472748083
UGA,Disruption,pos,inc,excess2025,1.35572707846554,0.935404327502576,1.74246962376977
UKR,Disruption,a,inc,excess20,-1.50562569445951,-2.87302105707752,-0.871160039966588
UKR,Disruption,a,inc,excess2025,3.28440403061945,0.902109440844486,9.33699665304278
VNM,Disruption,a,inc,excess20,0.934238322879977,0.367520167461474,1.39047645433125
VNM,Disruption,a,inc,excess2025,6.29772608897863,4.94621525471119,8.15344078303125
ZAF,Disruption,a,inc,excess20,-0.277787595113177,-0.32317653978049,-0.160485469133094
ZAF,Disruption,a,inc,excess2025,0.220924723274518,-0.0330005348000306,0.426374098903148
ZAF,Disruption,pos,inc,excess20,-0.0819482941010419,-0.127279292121742,-0.0537607982221744
ZAF,Disruption,pos,inc,excess2025,0.0613983911727733,-0.028004106638021,0.110072319654291
AGO,Disruption,a,mort,excess20,1.71301703561829,0.954317020113539,2.15974522554151
AGO,Disruption,a,mort,excess2025,5.79454896360916,3.91230244753644,7.04762234556404
AGO,Disruption,pos,mort,excess20,1.78548935957299,1.04854264678582,2.1846613189212
AGO,Disruption,pos,mort,excess2025,5.22993482778372,3.20226812635802,7.58904302282673
BGD,Disruption,a,mort,excess20,13.1993761815265,8.62271481222457,15.6569318141688
BGD,Disruption,a,mort,excess2025,9.3367152067281,7.40411145134242,10.467482354602
BRA,Disruption,a,mort,excess20,13.5995985177976,9.99681125565129,14.8960053987427
BRA,Disruption,a,mort,excess2025,9.2237916917603,7.91008774816783,9.7653117716166
BRA,Disruption,pos,mort,excess20,11.8484717855754,8.65896907425749,13.4089129036707
BRA,Disruption,pos,mort,excess2025,7.92229974340288,6.87741787681309,8.84807526278762
CHN,Disruption,a,mort,excess20,59.2911180585766,29.7814321325968,69.1012192842723
CHN,Disruption,a,mort,excess2025,17.2410458442433,13.5456361373122,18.5925918314131
IDN,Disruption,a,mort,excess20,14.1829213907741,9.03701265722802,18.1800981012938
IDN,Disruption,a,mort,excess2025,30.1744570031303,21.4756414618384,35.4766349241107
IND,Disruption,a,mort,excess20,12.2196762649964,7.08475327450404,15.7088524546109
IND,Disruption,a,mort,excess2025,16.2727863311474,11.4310891781253,19.0227745683537
KEN,Disruption,a,mort,excess20,5.18838233346164,2.21619496351286,7.441491947986
KEN,Disruption,a,mort,excess2025,6.46837852374351,3.8743076474704,7.84612788413451
KEN,Disruption,pos,mort,excess20,4.80368002775959,1.97528221964396,7.10635583053275
KEN,Disruption,pos,mort,excess2025,5.96034781231045,3.66004159437969,7.40575005042079
MMR,Disruption,a,mort,excess20,9.37139913712879,6.59329615161934,12.5597560271017
