iso3,year,hiv,tb,ill_def,tb_seq,total,prop.tb,tb.imp,garbage,garbage.imp,totaltb,seq.prop,tb.prop,codqual,min.coverage,max.coverage,min.usability,max.usability,use.ghe,keep.vr,ghe.env,env,env.nm,vr.coverage,tb.adj,tb.adj.sd,pop,ihme.env,env.ratio
MDV,2013,,3,157,4,1141,0.00262927256792288,3,0.137598597721297,0.137598597721297,7,0.571428571428571,0.00711382113821138,low,84,100,17,72,no,FALSE,1200.0209,1200.0209,16,0.950816773274532,8.53673404471545,0.468524637042701,415592,1221.4057,0.98249164876175
MDV,2014,,6,128,1,1157,0.00518582541054451,6,0.110630942091616,0.110630942091616,7,0.142857142857143,0.00680272108843537,low,84,100,17,72,no,FALSE,1242.7152,1242.7152,16,0.931025869805085,8.45384489795918,0.438949259751295,435018,1256.73,0.988848201284286
MDV,2015,,2,128,4,1165,0.00171673819742489,2,0.109871244635193,0.109871244635193,6,0.666666666666667,0.00578592092574735,low,84,100,17,72,no,FALSE,1288.5814,1288.5814,16,0.904094999353553,7.45563008678882,0.452193311262404,454914,1292.7509,0.996774707331474
MDV,2016,,6,190,5,1260,0.00476190476190476,6,0.150793650793651,0.150793650793651,11,0.454545454545455,0.0102803738317757,low,84,100,17,72,no,FALSE,1330.7999,1330.7999,16,0.946798989089194,13.6811204672897,0.8336530022797,475505,1346.9987,0.987974153204454
MDV,2017,,5,161,5,1241,0.0040290088638195,5,0.129734085414988,0.129734085414988,10,0.5,0.00925925925925926,low,84,100,17,72,no,FALSE,1361.8801,1361.8801,16,0.911240277319567,12.6100009259259,0.822802852314835,496398,1397.5866,0.974451314859487
MEX,2000,4201,3208,8501,235,435451,0.00736707459622323,3208,0.0195222883860641,0.0195222883860641,3443,0.0682544292767935,0.00806417613303666,high,100,100,89,92,yes,TRUE,458226.9,458226.9,18,0.950295585003848,3695.22243049537,67.674846256213,98899845,452651.72,1.01231671007458
MEX,2001,4302,3180,9018,242,438848,0.00724624471343153,3180,0.0205492562345049,0.0205492562345049,3422,0.070718877849211,0.00796128702044994,high,100,100,89,92,yes,TRUE,461198.1,461198.1,18,0.951539045802661,3671.73044738618,66.9888140931613,100298152,454950.35,1.01373281721841
MEX,2002,4438,3001,9170,249,455479,0.00658866819326467,3001,0.0201326515602256,0.0201326515602256,3250,0.0766153846153846,0.00728195039759449,high,100,100,89,92,yes,TRUE,474107.1,474107.1,18,0.960709088726999,3452.42438534737,53.7580680124783,101684764,467418.24,1.01431022460741
MEX,2003,4579,3017,9756,237,468507,0.00643960495787683,3017,0.0208235949516229,0.0208235949516229,3254,0.0728334357713583,0.00709317254894267,high,100,100,89,92,yes,TRUE,487649.9,487649.9,18,0.960744583357856,3458.98488417464,54.474463417668,103081020,479591.48,1.01680267547705
MEX,2004,4697,2364,9300,262,469780,0.005032142705096,2364,0.0197965004895909,0.0197965004895909,2626,0.0997715156130998,0.00570274496177901,high,100,100,89,92,yes,TRUE,487143.1,487143.1,18,0.964357290496365,2778.05285919041,40.2142879114619,104514934,481325.88,1.01208582426526
MEX,2005,4639,2480,9310,249,491841,0.00504227992379651,2480,0.0189288814881232,0.0189288814881232,2729,0.0912422132649322,0.00565559518455809,high,100,100,89,92,yes,TRUE,507186.1,507186.1,18,0.969744636140462,2868.4392648348,36.6409914173537,106005199,497575.17,1.01931553377151
MEX,2006,4920,2284,9292,231,491431,0.00464765145055969,2284,0.0189080460939583,0.0189080460939583,2515,0.0918489065606362,0.00521633802700051,high,100,100,89,92,yes,TRUE,506551.4,506551.4,18,0.970150314459698,2642.34333045035,33.4477932299016,107560155,500694.67,1.0116972086002
MEX,2007,5054,2095,9812,179,500509,0.0041857389177817,2095,0.0196040430841403,0.0196040430841403,2274,0.0787159190853122,0.0046342243787918,high,100,100,89,92,yes,TRUE,514633,514633,18,0.972555199530539,2384.92479473076,29.0839152708675,109170503,508672.91,1.01171694006665
MEX,2008,5159,2296,10138,209,534722,0.00429381996626284,2296,0.0189593845026014,0.0189593845026014,2505,0.0834331337325349,0.00477521235874522,high,100,100,89,92,yes,TRUE,548004.2,548004.2,18,0.975762594520261,2616.83642848428,29.2073493103047,110815272,537956.58,1.01867738098863
MEX,2009,5064,2152,10869,180,548937,0.00392030415147822,2152,0.0198000863487067,0.0198000863487067,2332,0.0771869639794168,0.00433402469576336,high,100,100,89,92,yes,TRUE,560798.7,560798.7,18,0.978848560098303,2430.51541515199,25.6693005099704,112463886,562930.06,0.996213810291104
MEX,2010,4805,2354,11826,154,576171,0.004085592645239,2354,0.0205251565941361,0.0205251565941361,2508,0.0614035087719298,0.00444409005129841,high,100,100,89,92,yes,TRUE,587987.4,587987.4,18,0.979903650996603,2613.06895462882,27.3676658129852,114092961,568569.31,1.03415254685484
MEX,2011,4953,2470,10466,127,573151,0.00430951005930374,2470,0.0182604584132279,0.0182604584132279,2597,0.0489025798998845,0.00461537094466709,high,100,100,89,92,yes,TRUE,584233.8,584233.8,18,0.981030197157371,2696.45570541244,25.816124787755,115695468,575633.44,1.0149406886438
MEX,2012,4870,2166,9883,161,584556,0.00370537638823312,2166,0.0169068489588679,0.0169068489588679,2327,0.0691877954447787,0.00404925931790775,high,100,100,89,92,yes,TRUE,594348.3,594348.3,18,0.983524307211781,2406.67039185763,20.5995244081924,117274156,589586.41,1.00807666173988
MEX,2013,4883,2288,10132,144,593651,0.00385411630739273,2288,0.0170672667948003,0.0170672667948003,2432,0.0592105263157895,0.00416781630075456,high,100,100,89,92,yes,TRUE,602819.6,602819.6,18,0.984790474629557,2512.44135529434,20.775512717664,118827158,620911.75,0.970861962267585
MEX,2014,4741,2148,9856,109,615605,0.00348925041219613,2148,0.0160102663233729,0.0160102663233729,2257,0.0482941958351795,0.00372596570526736,high,100,100,89,92,yes,TRUE,624679.8,624679.8,18,0.985472877464583,2327.53551157328,18.1849698730381,120355137,636480.42,0.981459571057975
MEX,2015,4723,2073,10380,100,638516,0.0032465905317956,2073,0.0162564446309881,0.0162564446309881,2173,0.0460193281178095,0.00345944190430098,high,100,100,89,92,yes,TRUE,646600.8,646600.8,18,0.987496458402155,2236.87790287454,16.4389173288101,121858251,649116.67,0.996124163626856
MEX,2016,4593,2032,9230,116,668812,0.00303822299839118,2032,0.0138005897023379,0.0138005897023379,2148,0.0540037243947858,0.00325660797292831,high,100,100,89,92,yes,TRUE,677069.5,677069.5,18,0.987804058519842,2204.94993192658,14.6149614204777,123333379,668336.58,1.01306664974106
MEX,2017,4664,1968,9363,160,685507,0.00287086783942396,1968,0.0136585038518936,0.0136585038518936,2128,0.075187969924812,0.00314725857213848,high,100,100,89,92,yes,TRUE,691890.7,691890.7,18,0.990773542699736,2177.55893655789,12.6782783350499,124777326,702830.3,0.984434934008963
MKD,2000,0,92,1440,0,17252,0.00533271504753072,92,0.0834685833526548,0.0834685833526548,92,0,0.00581836579812801,medium,83,84,66,70,yes,TRUE,20559.381,20559.381,14,0.83913032206563,119.621999241083,8.97880101155975,2034823,19556.984,1.05125519354109
MKD,2001,0,86,1268,0,16918,0.00508334318477361,86,0.0749497576545691,0.0749497576545691,86,0,0.00549520766773163,medium,83,84,66,70,yes,TRUE,20381.217,20381.217,14,0.830078007608672,111.999019936102,8.4647231166937,2042844,20176.805,1.01013103908176
MKD,2002,0,71,1508,0,17959,0.00395344952391559,71,0.0839690405924606,0.0839690405924606,71,0,0.00431584706096894,medium,83,84,66,70,yes,TRUE,21997.6,21997.6,14,0.816407244426665,94.9382773083703,8.00231975136172,2048930,20708.95,1.06222671839953
MKD,2003,0,78,1387,0,18003,0.00433261123146142,78,0.0770427151030384,0.0770427151030384,78,0,0.00469427058257102,medium,83,84,66,70,yes,TRUE,22055.88,22055.88,14,0.816244919722088,103.536268656716,8.47413452606371,2053426,20827.042,1.05900204167255
MKD,2004,0,57,1043,0,17946,0.00317619525242394,57,0.0581188008469854,0.0581188008469854,57,0,0.00337218245281903,medium,83,84,66,70,yes,TRUE,21851.39,21851.39,14,0.821274985252654,73.6868739277051,5.39299813753649,2057044,20635.02,1.05894687768657
MKD,2005,0,63,1342,0,18403,0.00342335488779003,63,0.072922893006575,0.072922893006575,63,0,0.00369263231932478,medium,83,84,66,70,yes,TRUE,22257.31,22257.31,14,0.826829477596349,82.1880622472305,6.25805418404411,2060280,20935.982,1.06311277875573
MKD,2006,3,60,1138,,18630,0.00322061191626409,60,0.0610842726784756,0.0610842726784756,60,,0.00343013949233936,medium,83,84,66,70,yes,TRUE,22638.93,22638.93,14,0.82291875101871,77.6546878573062,5.7123719782387,2063132,21520.892,1.05195128529059
MKD,2007,1,55,1489,,19594,0.00280698172910075,55,0.0759926508114729,0.0759926508114729,55,,0.00303783485225076,medium,83,84,66,70,yes,TRUE,23898.86,23898.86,14,0.819871742836269,72.6007898370616,5.8083238360309,2065408,22039.369,1.08437133567662
MKD,2008,2,45,1315,,18982,0.0023706669476346,45,0.0692761563586556,0.0692761563586556,45,,0.00254712175241977,medium,83,84,66,70,yes,TRUE,23124.48,23124.48,14,0.820861701538802,58.9008660213958,4.54873915059783,2067309,21674.538,1.06689609716249
MKD,2009,,18,1265,,19060,0.000944386149003148,18,0.0663693599160546,0.0663693599160546,18,,0.0010115200899129,medium,83,84,66,70,yes,TRUE,22952.41,22952.41,14,0.8304138868206,23.2168238269177,1.68219555174464,2069030,21880.204,1.0490034736422
MKD,2010,,32,1250,,19112,0.00167434072833822,32,0.0654039347007116,0.0654039347007116,32,,0.00179151270854328,medium,83,84,66,70,yes,TRUE,22859.97,22859.97,14,0.836046591487216,40.953926771918,2.86483172920506,2070737,21872.406,1.04515113700797
MKD,2011,,25,1349,,19465,0.00128435653737478,25,0.0693038787567429,0.0693038787567429,25,,0.00137999558401413,medium,83,84,66,70,yes,TRUE,23482.96,23482.96,14,0.82889891223253,32.4063810995805,2.40014008481735,2072484,21744.247,1.07996197798894
MKD,2012,,22,1081,,20134,0.00109267905036257,22,0.0536902751564518,0.0536902751564518,22,,0.00115467380465019,medium,83,84,66,70,yes,TRUE,24423.51,24423.51,14,0.824369634012474,28.2011872146119,1.98728229081962,2074275,22199.376,1.10018903234037
MKD,2013,1,19,1217,,19208,0.000989171178675552,19,0.0633590170762182,0.0633590170762182,19,,0.00105608359735423,medium,83,84,66,70,yes,TRUE,23284.73,23284.73,14,0.824918304828959,24.590621421822,1.8089059854836,2076065,22018.316,1.05751638772011
MLT,2000,2,1,23,2,2973,0.000336360578540195,1,0.00773629330642449,0.00773629330642449,3,0.666666666666667,0.00101694915254237,high,100,100,85,93,yes,TRUE,3151.894,3151.894,18,0.943242380613053,3.20531593220339,0.0548418690522264,393649,2956.1222,1.06622588200177
MLT,2001,,,18,1,2935,,1,0.00613287904599659,0.00613287904599659,2,0.5,0.000685635927322592,high,100,100,85,93,yes,TRUE,3167.65,3167.65,18,0.926554385743375,2.17185464518341,0.0466554136797412,396324,2995.7764,1.0573719720871
MLT,2002,2,1,31,2,3031,0.000329924117452986,1,0.0102276476410426,0.0102276476410426,3,0.666666666666667,0.001,high,100,100,85,93,yes,TRUE,3169.85,3169.85,18,0.956196665457356,3.16985,0.0448665852083332,398720,3054.4706,1.0377739435436
MLT,2003,1,1,39,,3164,0.000316055625790139,1,0.0123261694058154,0.0123261694058154,1,,0.00032,high,100,100,85,93,yes,TRUE,3172.649,3172.649,18,0.99727388690019,1.01524768,0.00387004293634563,400858,3079.64,1.03020125728981
MLT,2004,2,,15,1,2999,,1,0.00500166722240747,0.00500166722240747,2,0.5,0.000670241286863271,high,100,100,85,93,yes,TRUE,3186.289,3186.289,18,0.941220335004138,2.13558243967828,0.0361934346632104,402820,3074.2358,1.03644912338865
MLT,2005,1,1,32,,3130,0.000319488817891374,1,0.010223642172524,0.010223642172524,1,,0.000322788896061975,high,100,100,85,93,yes,TRUE,3187.316,3187.316,18,0.982017471753664,1.02883021304067,0.00741534855616043,404659,3062.0715,1.04090188619044
MLT,2006,5,1,33,,3216,0.000310945273631841,1,0.0102611940298507,0.0102611940298507,1,,0.000314169022934339,high,100,100,85,93,yes,TRUE,3228.399,3228.399,18,0.996159396654503,1.0142629594722,0.00361659787127535,406330,3070.9479,1.05127117265649
MLT,2007,1,4,39,2,3111,0.00128576020572163,4,0.0125361620057859,0.0125361620057859,6,0.333333333333333,0.001953125,high,100,100,85,93,yes,TRUE,3247.273,3247.273,18,0.958034633983653,6.342330078125,0.0904654312974613,407854,3111.4986,1.04363633652286
MLT,2008,,1,29,,3243,0.000308356460067838,1,0.00894233734196731,0.00894233734196731,1,,0.000311138767890479,high,100,100,85,93,yes,TRUE,3248.458,3248.458,18,0.998319818202975,1.01072121966397,0.00270904105376336,409493,3153.2092,1.03020693964739
MLT,2009,,1,30,,3222,0.000310366232153942,1,0.00931098696461825,0.00931098696461825,1,,0.00031328320802005,high,100,100,85,93,yes,TRUE,3236.276,3236.276,18,0.99558875695398,1.0138709273183,0.0035158324857413,411559,3192.1228,1.01383192400994
MLT,2010,1,,33,1,3010,,2,0.0109634551495017,0.0109634551495017,3,0.333333333333333,0.00100772589855559,high,100,100,85,93,yes,TRUE,3265.833,3265.833,18,0.921663783788087,3.29106449445751,0.079826001942194,414257,3222.2859,1.01351435016986
MLT,2011,2,3,12,,3267,0.000918273645546373,3,0.00367309458218549,0.00367309458218549,3,,0.000921658986175115,high,100,100,85,93,yes,TRUE,3315.644,3315.644,18,0.985328943638099,3.0558930875576,0.0142336083257943,417720,3293.7897,1.00663500162138
MLT,2012,1,1,18,,3420,0.000292397660818713,1,0.00526315789473684,0.00526315789473684,1,,0.000293944738389183,high,100,100,85,93,yes,TRUE,3373.815,3373.815,18,1,0.991715167548501,0.00131179254966734,421809,3348.7681,1.00747943699058
MLT,2013,1,1,22,2,3236,0.00030902348578492,1,0.00679851668726823,0.00679851668726823,3,0.666666666666667,0.000933416303671437,high,100,100,85,93,yes,TRUE,3386.583,3386.583,18,0.955535417262769,3.16109178593653,0.0424354934421504,426144,3381.7627,1.00142538091156
MLT,2014,3,1,20,,3270,0.000305810397553517,1,0.00611620795107034,0.00611620795107034,1,,0.000307692307692308,high,100,100,85,93,yes,TRUE,3401.116,3401.116,18,0.961449124346244,1.04649723076923,0.0121648058096095,430190,3427.2183,0.992383823347349
MLT,2015,3,1,15,1,3443,0.000290444379901249,1,0.00435666569851873,0.00435666569851873,2,0.5,0.00058343057176196,high,100,100,85,93,yes,TRUE,3417.246,3417.246,18,1,1.99372578763127,0.00218100108040178,433559,3418.4128,0.999658672001228
MLT,2016,7,,19,2,3343,,1,0.00568351779838469,0.00568351779838469,3,0.666666666666667,0.000902527075812274,high,100,100,85,93,yes,TRUE,3503.759,3503.759,18,0.954118134266655,3.16223736462094,0.0427527546951636,436099,3518.6236,0.995775450377813
MLT,2017,1,,15,,3571,,1,0.00420050406048726,0.00420050406048726,1,,0.000281214848143982,high,100,100,85,93,yes,TRUE,3595.754,3595.754,18,0.993115769321261,1.01117941507312,0.00282609859862318,437935,3595.0417,1.00019813400217
MNE,2005,1,3,758,,5839,0.00051378660729577,3,0.129816749443398,0.129816749443398,3,,0.000590434953749262,low,89,98,61,67,no,FALSE,6144.063,6144.063,10,0.950348328134005,3.62766955323755,0.189748143981174,616388,6225.0608,0.986988432305754
MNE,2006,1,5,565,,5968,0.000837801608579088,5,0.094671581769437,0.094671581769437,5,,0.000925411808254673,low,89,98,61,67,no,FALSE,6306.557,6306.557,10,0.946316666923014,5.83616231723117,0.243998950345662,617863,6331.9174,0.995994830886455
MNE,2007,1,7,803,,5979,0.00117076434186319,7,0.134303395216591,0.134303395216591,7,,0.00135239567233385,low,89,98,61,67,no,FALSE,6444.497,6444.497,10,0.927768295958552,8.71550985316847,0.533983679589193,619554,6415.3613,1.00454155247655
MNE,2008,,3,799,,5708,0.000525578135949545,3,0.139978976874562,0.139978976874562,3,,0.000611122428193115,low,89,98,61,67,no,FALSE,6527.739,6527.739,10,0.874422215716652,3.98924770829089,0.328862846102622,621312,6447.6664,1.01241884970972
MNE,2009,,1,834,,5866,0.000170473917490624,1,0.14217524718718,0.14217524718718,1,,0.000198728139904611,low,89,98,61,67,no,FALSE,6589.984,6589.984,10,0.890138731748059,1.30961526232114,0.101369218245834,622933,6487.3703,1.01581745688234
MNG,2016,7,274,135,1,16182,0.0169323940180447,274,0.00834260289210234,0.00834260289210234,275,0.00363636363636364,0.0171371595936935,low,79,79,76,76,no,FALSE,21586.613,21586.613,1,0.749631264524917,369.933232068299,31.9263248815599,3056358,22658.124,0.952709632977558
MUS,2000,0,6,278,0,7789,0.000770317113878547,6,0.035691359609706,0.035691359609706,6,0,0.000798828385035282,high,100,100,77,90,yes,TRUE,7813.279,7813.279,20,0.996892597845284,6.24146904540008,0.0627967321786211,1185147,7751.9032,1.00791751372747
