iso3,year,ghiv,hincome,g.whoregion,newinc,c.newinc,newrel.hivpos,newrel.hivtest,newrel.art,hivtest.f,hivtest.p,hivtest.pos.f,hivtest.pos.p,hiv.art.f,hiv.art.p,newrel.tbhiv.flg,c.notified,tbhiv.surv.prev,tbhiv.surv.yr,tbhiv.sentin.prev,tbhiv.sentin.yr,hivtest.coverage,tbhiv.surv,tbhiv.surv.lo,tbhiv.surv.hi,tbhiv.sentin,tbhiv.sentin.lo,tbhiv.sentin.hi,tbhiv.routine,tbhiv.routine.ok,tbhiv.routine.sd,tbhiv.surv.sd,tbhiv.sentin.sd,tbhiv,tbhiv.sd,itbhiv,inc,inc.sd,pop,inc.hat,newinc.hat,mort.hat,mort.nh.hat,mort.h.hat,g.income,g.gbd,g.mdr,g.hbc,g.hbmdr,g.hbtbhiv,newinc2019,imp.newinc,source.inc,inc2019,inc.md,inc.md.sd,hiv.num,hiv.lo.num,hiv.hi.num,mort.hiv.num,mort.hiv.lo.num,mort.hiv.hi.num,hiv,hiv.lo,hiv.hi,hiv.sd,mort.hiv,mort.hiv.lo,mort.hiv.hi,mort.hiv.sd,inc.h,inc.h.sd,inc.nh,inc.nh.sd,fi.h,fi.h.sd,fi.nh,fi.nh.sd,irr,irr.sd,e.irr,e.tbhiv,e.tbhiv.sd,old.source.inc,inc.lo,inc.hi,inc.nh.lo,inc.nh.hi,inc.h.lo,inc.h.hi,tbhiv.lo,tbhiv.hi
SEN,2016,FALSE,FALSE,AFR,85.8904723735877,12878,727,11549,703,,,,,,,1,13117,,,,,0.880460471144317,,,,,,,0.0629491730885791,0.0629491730885791,0.00216052275760447,,,0.0629491730885791,0.00216052275760447,0.0629491730885791,121.556690207869,20.2896986914857,14993514,,,,,,LMC,SSAFR_WEST,AFR,FALSE,FALSE,FALSE,81.9630786306784,85.8904723735877,,116.520440516882,,,41106,37122.9033846708,45288.5658613727,1885,1541.42018408912,2262.62641440966,0.00274158546155358,0.00247593081813048,0.00302054380723376,0.000138931884975327,12.5721028439364,10.2805798833357,15.0907013153131,1.22707179387179,7.65189313196996,1.3046778689716,113.9047970759,19.0143432533392,0.0279821422279545,0.00496458271714919,0.00114217937523566,0.000190666226503698,25.1815966182675,5.96808662946245,25.9619944704627,0.0611234306481394,0.0236873608897871,"Case notifications,
Expert opinion",85.0837512554324,164.42449755018,79.7249781686957,154.078550504645,5.31149178624887,10.4127668739765,0.0587805940614103,0.0672487851856755
SEN,2017,FALSE,FALSE,AFR,85.8336866771461,13235,749,12211,663,,,,,,,1,13660,,,,,0.893923865300146,,,,,,,0.0613381377446565,0.0613381377446565,0.00210534011868052,,,0.0613381377446565,0.00210534011868053,0.0613381377446565,119.854207213417,19.7253370111321,15419354,,,,,,LMC,SSAFR_WEST,AFR,FALSE,FALSE,FALSE,81.9630786306784,85.8336866771461,,116.520440516882,,,40506,36659.1162477199,44541.5279622696,1746,1468.77389683922,2046.83452765749,0.00262695830188476,0.0023774741955934,0.00288867665676977,0.00013040879111642,11.323431578262,9.52552160641244,13.2744505876024,0.956359433977021,7.35163387133316,1.23664561252073,112.502573342084,18.517187502671,0.0280543131315818,0.00490823655240847,0.00112798893254524,0.000185659653622755,25.544872227499,5.9742510485074,22.7145797242008,0.0552930185993099,0.0215646115363959,"Case notifications,
Expert opinion",84.3498538157857,161.488924879825,79.1733048592975,151.587687391374,5.13044451635452,9.96604037632151,0.057276157988766,0.0655280609310175
SEN,2018,FALSE,FALSE,AFR,83.5734150506827,13250,592,12247,553,,,,,,,0,13663,,,,,0.896362438703067,,,,,,,0.0483383685800604,0.0483383685800604,0.00188206687389021,,,0.0483383685800604,0.00188206687389021,0.0483383685800604,118.175568635437,19.1766731541467,15854324,,,,,,LMC,SSAFR_WEST,AFR,FALSE,FALSE,FALSE,81.9630786306784,83.5734150506827,,116.520440516882,,,39983,36106.7382218149,44053.5312914986,1559,1320.20729232177,1817.34780917768,0.0025218987577143,0.00227740635436837,0.00277864456986615,0.000127866891708619,9.83327955200108,8.32711184861471,11.4627896413476,0.799917804268592,5.71241419385799,0.953961451512301,112.463154441579,18.2510950080221,0.0227094739688621,0.00395321441039296,0.00112747494054847,0.000182972445001119,20.6723542512403,4.79358055967152,23.7989960465798,0.0504279885284547,0.0197688127499728,"Case notifications,
Expert opinion",83.6147876632733,158.613139650547,79.5708566342358,150.949329340247,3.99780993729173,7.72817175837341,0.0447159666528004,0.0520925298961272
SEN,2019,FALSE,FALSE,AFR,81.9630786306784,13357,647,12697,592,,,,,,,0,13744,,,,,0.923821303841676,,,,,,,0.050956918957234,0.050956918957234,0.0019225462728953,,,0.050956918957234,0.0019225462728953,0.050956918957234,116.520440516882,18.6432704827011,16296362,,,,,,LMC,SSAFR_WEST,AFR,FALSE,FALSE,FALSE,81.9630786306784,81.9630786306784,,116.520440516882,,,39643,35664.6695766571,43828.1184553998,1310,1103.35944930847,1534.11331243396,0.0024326288284465,0.00218850499127701,0.00268944188005886,0.00012779002264843,8.03860395344679,6.77058750479692,9.41383918959312,0.674298899182702,5.93752264427994,0.976716290966225,110.582917872602,17.6947212465967,0.0244751998886299,0.00421482434111973,0.00110852582876083,0.000177378765869117,22.6443694383566,5.1902121923293,21.9144472392624,0.0465801235594663,0.0183187596685949,"Case notifications,
Expert opinion",82.8788333988823,155.795742401599,78.6533431924767,147.860297840488,4.17958425778934,7.9992015434417,0.0472542920511469,0.0547895711833921
SEN,2020,FALSE,FALSE,AFR,76.4933919336739,12808,625,12547,587,,,,,,,1,13220,,,,,0.949092284417549,,,,,,,0.0498127042320874,0.0498127042320874,0.00194246814661323,,,0.0498127042320874,0.00194246814661323,0.0498127042320874,117.186218021423,18.9922614611775,16743930,114.888449040611,79.9928933593049,18.0602157878609,16.6663718524943,1.42118123638774,LMC,SSAFR_WEST,AFR,FALSE,FALSE,FALSE,81.9630786306784,76.4933919336739,Predicted incidence ratio,116.520440516882,,,39490,35323.7528790746,43884.5617074376,1111,922.738927240131,1316.47708202298,0.00235846662044096,0.00210964527915935,0.00262092362470684,0.00013042814937436,6.63524035277262,5.51088619720777,7.86241391371666,0.599879519517574,5.83736241837805,0.973754806652811,111.348855603045,18.047678845354,0.0248263634559108,0.0043497347688753,0.00111612090897041,0.000180903502034831,22.8277858789396,5.30905324860216,19.966990376236,0.0437207647672259,0.0172037257757867,"Case notifications,
Expert opinion",82.9539647903641,157.231525927938,78.8195406104168,149.402874933364,4.08700375446601,7.89478563075161,0.0460740386993735,0.053687334346766
SGP,2000,FALSE,TRUE,WPR,42.8904169703083,1728,,,,,,,,,,,1728,,,,,,,,,,,,,,,,,0.0917058333756478,0.0346446159438388,,49.3239795158546,3.77479435070316,4028872,,,,,,HIC,ASIAPAC_hi_income,WPR,FALSE,FALSE,FALSE,36.0075205755415,42.8904169703083,"Case notifications, Standard adjustment",41.4086486618727,,,3020,2693.77790125278,3364.57947144423,124,108.514758469658,140.50296501757,0.000749589463254231,0.000668618387790125,0.000835116993402677,4.24741340848346e-05,3.07778455111009,2.6934277998819,3.48740205738902,0.202544453445695,4.52329664690482,1.74841908649293,44.8006828689497,3.83309216891338,0.0605373994422628,0.0235743086396339,0.000448342902614663,3.83596804317176e-05,136.013197721252,53.8351271442987,141.346055752603,0.0917058333756478,0.0346446159438388,"Case notifications,
Standard adjustment",42.2026876613185,56.9920133508359,37.6031006143644,52.6189079950767,1.77278852002842,8.5394807994464,0.0358890723528073,0.169944990665023
SGP,2001,FALSE,TRUE,WPR,37.6733747838564,1536,,,,,,,,,,,1538,,,,,,,,,,,,,,,,,0.0878509642458895,0.0332549638473669,,43.3243810014348,3.31564140317103,4077150,,,,,,HIC,ASIAPAC_hi_income,WPR,FALSE,FALSE,FALSE,36.0075205755415,37.6733747838564,"Case notifications, Standard adjustment",41.4086486618727,,,3279,2926.00253528659,3651.78879196403,150,131.132397426383,170.117202033289,0.000804238254663184,0.000717658789911234,0.000895671925723612,4.54115142378517e-05,3.67904050623597,3.21627601207666,4.17245384725334,0.243922917136909,3.80608864633234,1.47403040320126,39.5182923551025,3.35181566819954,0.0474762754666399,0.0185220603204219,0.000395501001402371,3.35451397785677e-05,120.904408818858,47.9258672518179,121.089971080297,0.0878509642458895,0.0332549638473669,"Case notifications,
Standard adjustment",37.0693127381585,50.0597160893757,33.2220167768436,46.3526105509011,1.48837652789492,7.19286274903418,0.0343426262986077,0.163020808119994
SGP,2002,FALSE,TRUE,WPR,36.9359081592055,1516,,,,,,,,,,,1545,,,,,,,,,,,,,,,,,0.082521510039189,0.031331642721294,,42.4762943830863,3.25073681503211,4104407,,,,,,HIC,ASIAPAC_hi_income,WPR,FALSE,FALSE,FALSE,36.0075205755415,36.9359081592055,"Case notifications, Standard adjustment",41.4086486618727,,,3533,3166.95619575468,3918.7505439728,186,165.118741823584,208.106441540165,0.000860782081309188,0.000771598965637345,0.00095476655798823,4.67264266201237e-05,4.53171432560173,4.02296219218962,5.07031689450304,0.26718232201873,3.5052079533614,1.3614338012857,38.9710864297249,3.2675272617916,0.0408411942129448,0.0159699661570923,0.000390046610282601,3.2703428225799e-05,105.444594435895,41.8743997422243,118.507335402411,0.082521510039189,0.031331642721294,"Case notifications,
Standard adjustment",36.3436727675555,49.0797854391017,32.8300512914288,45.6306325894122,1.36612418633364,6.63448226204035,0.0322008520614355,0.153435166434612
SGP,2003,FALSE,TRUE,WPR,38.288037930586,1581,,,,,,,,,,,1609,,,,,,,,,,,,,,,,,0.075977318276071,0.0289642232123109,,44.031243620174,3.36973803215617,4129227,,,,,,HIC,ASIAPAC_hi_income,WPR,FALSE,FALSE,FALSE,36.0075205755415,38.288037930586,"Case notifications, Standard adjustment",41.4086486618727,,,3793,3412.49787434692,4193.30024320487,211,187.208642753861,236.193750507161,0.000918573863824876,0.000826425351366471,0.0010155170067436,4.82376671880441e-05,5.10991524563799,4.53374548683958,5.72004761441212,0.302628093768507,3.34537581062118,1.30443198487751,40.6858678095528,3.36618654963804,0.0365196684828546,0.014328828873224,0.000407232752406832,3.36928205725404e-05,90.2914967932217,35.9596132644898,128.005623029497,0.075977318276071,0.0289642232123109,"Case notifications,
Standard adjustment",37.6741185536011,50.8764679151564,34.3557711274447,47.5430647269646,1.29790946685249,6.34519219360205,0.0295680265598474,0.141638532709038
SGP,2004,FALSE,TRUE,WPR,34.1376835498978,1426,,,,,,,,,,,1534,,,,,,,,,,,,,,,,,0.0686670654505053,0.026313697049345,,39.2583360823824,3.0044644961007,4177202,,,,,,HIC,ASIAPAC_hi_income,WPR,FALSE,FALSE,FALSE,36.0075205755415,34.1376835498978,"Case notifications, Standard adjustment",41.4086486618727,,,4063,3659.96537377415,4486.75697988288,225,198.807430624631,252.789749859605,0.000972660647007255,0.000876176295466236,0.00107410582008792,5.04922256687959e-05,5.38638064426858,4.75934442779236,6.05165251428121,0.329670430226747,2.69575473324689,1.05639395321072,36.5625813491355,2.98380401687897,0.0277899517995227,0.0109557491569912,0.000365981790510472,2.98670964403985e-05,76.4383107189461,30.5698763823054,59.8623856045279,0.0686670654505053,0.026313697049345,"Case notifications,
Standard adjustment",33.5903221963358,45.3615607706429,30.948285988777,42.6377565756851,1.03975816462303,5.12678180784833,0.0266217132022755,0.12843104469997
