g.whoregion,year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
AMR,2000,299495.448436299,268116.263914834,332585.385087192,833080431,35.9503641295229,32.1837188748986,39.9223619606534,1.9747024148185,259459.504596391,231102.701174927,289432.990902413,31.3291384845378,27.9051196853351,34.9483680240627,1.79729874032281,39651.6633194136,28494.17966827,52623.7709158086,4.78784715637453,3.44060666507164,6.35419931586075,0.744851026361269,27963.0071132032,25808.2518292665,30202.9192909542,3.35657951773484,3.09793038810037,3.62545057680681,0.134592930697831,9295.78930246039,6197.45419374761,13012.2231482259,1.1158333525254,0.743920270256308,1.56194079995451,0.209324233276543,38429.7897794142,34346.3225429296,42739.2925861136,4.61297473201771,4.12280990704601,5.13027205966306,0.257080384770574,0.133581200632965,0.0935310144146708,0.179439496889808,0.0219723940448209,238636,28.6450132688329,0.128702250315581,0.109667153837917,0.149002786459919,0.0100405768629177
AMR,2001,290154.91130606,261556.312611019,320215.366366994,843636757,34.3933462948984,31.0034277715829,37.9565451256166,1.77420108849939,255822.549168025,229965.201925833,283037.20921234,30.5018056905759,27.4188257741455,33.7466184535883,1.61465930032641,33973.298662639,24223.7620830282,45345.9001837206,4.05064744232186,2.8882070269184,5.40660641826243,0.643880768400858,26955.97913646,25130.2975176876,28844.7672677348,3.1952115543562,2.97880542889712,3.41909797414562,0.112333769843917,8310.00301601391,5382.11763575891,11863.6309260239,0.985021449938307,0.637966232635227,1.40624869976165,0.196676379128238,36375.8678707464,32614.2083291836,40339.8591293194,4.31179267248859,3.86590651231945,4.78166210689648,0.23367559487862,0.118087564866895,0.0823092196846892,0.159261072059772,0.0196822285580367,230523,27.3249118281365,0.125700669869516,0.107893777026347,0.144643489783005,0.00938003732889551
AMR,2002,292115.606241163,263073.97894513,322655.306782586,853827304,34.2124929564402,30.8111462016598,37.7892936043406,1.78059534792251,261314.955901209,234825.862666843,289198.77278086,30.7830018035591,27.6625764838678,34.0677261023892,1.63440082411059,30421.1296712376,21268.1878329956,41186.3673416943,3.58362071664219,2.50540066550591,4.85176983379678,0.600042190407323,25762.7357822828,24053.3201477834,27529.9970836563,3.01732395551066,2.8171177046106,3.22430507371737,0.103887040154669,7293.68074476669,4694.61920961998,10456.1422375139,0.85423372040193,0.549832406111479,1.22462027022667,0.172757688144725,34066.9158382704,30681.0426048193,37627.4458405158,3.98990705481942,3.59335458834416,4.40691527013006,0.207594084365013,0.10502969419131,0.0718247859616034,0.143615533294287,0.0183663993978601,233742,27.3757935480592,0.116937240560459,0.100642364177321,0.134267795948179,0.00858241318915321
AMR,2003,293517.843665747,264828.027630636,323661.366278039,863769755,33.9810281578737,30.6595624699357,37.4707917711288,1.73798915765778,264991.378052566,238695.730830745,292640.822840912,30.8394710167071,27.7792059759251,34.0572898659268,1.60196053355566,28332.4008403393,19574.2210892537,38684.4185395849,3.29730069321744,2.27803118876157,4.50205970140296,0.568841075737095,25097.9363891331,23641.4140167473,26597.3810716224,2.90562806162773,2.73700414721598,3.07922116022949,0.0873087778048658,6635.54650238183,4295.54869838264,9476.20175362127,0.768207784999583,0.497302513027055,1.09707496688412,0.153539742187447,32706.8717614202,29695.0981424083,35862.0224678457,3.78652662611696,3.43784879830718,4.15180344764974,0.182171613346422,0.0972874065463319,0.0658205871312876,0.134059865220376,0.0174601353727559,236327,27.3599531162098,0.111722099240543,0.0968475105873917,0.127504513521773,0.0078243951533809
AMR,2004,293325.972775902,264694.907447877,323405.643952044,873641475,33.5750970128681,30.2978870649286,37.0181193552017,1.71476875483298,265733.890943411,239424.979197397,293394.01990049,30.4488052360099,27.4342295381876,33.618208568144,1.57794631327255,27515.7438836727,18853.7501391174,37789.2040739985,3.15285913837877,2.16033477670574,4.33003148671783,0.555003664138103,23818.6774767409,22494.1941466221,25180.5130619571,2.7263675269928,2.57476262177481,2.88224789945521,0.0784472606989526,6513.43760839791,4206.20228568423,9317.09227996767,0.745550411099463,0.481456341765852,1.06646634192449,0.149765863414806,31243.326291084,28338.1847478872,34288.1888701491,3.57621829836821,3.24368583209573,3.92474371367832,0.173778433283635,0.0941496341766567,0.0631936562331151,0.130455738829625,0.0172118951125156,236879,27.1139828841116,0.106791845036365,0.0925220657454922,0.121942480082323,0.00750880255721926
AMR,2005,286015.358449131,258872.943018267,314491.008958948,883568438,32.3704815776966,29.2985729101233,35.5932823574837,1.60616955155643,259386.704226495,234507.642301583,285501.627962371,29.3849074166928,26.5664555864119,32.343365208356,1.47405383147657,26565.4636966796,18042.9951244062,36710.3269340639,3.00949770550618,2.04402050148089,4.15876966944325,0.541010649702538,22759.0283774987,21543.8525631447,24007.0719055046,2.5758082111913,2.43827774245878,2.71705856309736,0.0711236201495833,6625.28179634886,4238.59497784337,9536.44823771642,0.749832328930343,0.479713262216296,1.07931064845442,0.153521127559362,30192.9560067169,27282.514287718,33248.7734662273,3.41716099265158,3.08776469533851,3.76301054183053,0.172298171930512,0.0931993248333274,0.0620710936421455,0.129818882292014,0.0173380326395054,230212,26.0548012014888,0.105824004045334,0.0916345338241631,0.120893891708999,0.00746771946390014
AMR,2006,278801.046664564,252553.137654258,306327.524558157,893582992,31.2003528671194,28.2629750023552,34.280814127017,1.53551744272248,251802.287899398,227723.991706788,277072.86606881,28.1975160018607,25.5011618588836,31.0273851752216,1.41008601548299,26944.2563639787,18364.7675769029,37142.1632599513,3.01729228244769,2.05653742045054,4.15928207643861,0.53791464083641,21974.9361705446,20578.4437188537,23416.6229675943,2.45919364706805,2.30291354055379,2.62053140863656,0.0810341733730653,6966.86958771414,4485.47980067845,9985.82198800403,0.779655572015872,0.501965664167257,1.11750358695323,0.157588032844637,29725.4081846838,26666.4635098223,32948.0420059878,3.32654140139272,2.98421789006279,3.68718320524926,0.179376916946916,0.0969412253924932,0.064791314289497,0.134681451178854,0.0178855333411423,223230,24.9814513031824,0.106876951114683,0.0921015002032899,0.122598098772971,0.00778373218042955
AMR,2007,274387.28734956,249530.151498225,300407.330234418,903635546,30.3648178255218,27.6140256547882,33.2443020379389,1.43660342858619,248097.001763479,225120.718477781,272173.371541754,27.4768102956384,24.9321806844276,30.1432747845402,1.32965826341012,26243.2932736525,18873.6629088174,34808.665099624,2.9064518542646,2.09026329074219,3.8550691092131,0.451163000234744,20925.352490758,19683.2021865078,22204.9711119442,2.3156849665095,2.17822354085524,2.45729278913782,0.0711983470825446,6391.38460362991,4693.84276096718,8346.88791479316,0.707296722879238,0.519439809749049,0.923700705637487,0.103322288013888,28085.2201195769,25862.6743644713,30398.0703663792,3.10802515946809,2.86206916925237,3.36397461354173,0.128058523577669,0.0959319958394323,0.0676939842301048,0.12843466766044,0.0155328801294747,219722,24.315333872446,0.102585238502905,0.0903410267525739,0.115504041759005,0.00642159045325608
AMR,2008,275532.665976022,251046.373883336,301141.703617993,913673060,30.1565929913729,27.4766089615618,32.9594596581399,1.39897617147454,248694.010885238,225903.638095276,272563.583889596,27.2404176659291,24.7440999164548,29.8549443922931,1.30407293963907,26777.7713589314,19245.3644788564,35534.7695386363,2.93307294929853,2.10801926701406,3.89226085682326,0.45613518281199,20784.0788847722,19639.1904856406,21960.9431038814,2.27478293874312,2.1494768036217,2.40358877429104,0.0648302927489339,6357.50435160318,4669.24808464351,8302.26004839398,0.695818299775981,0.511041453344757,0.908668583091853,0.101626739111011,27888.2044880443,25728.9515026501,30133.2165328255,3.05231769535202,2.81599103979821,3.29803053762201,0.122989033372866,0.097470729666464,0.0687718186479478,0.13049500207962,0.0157841848674769,222357,24.3366046055905,0.101433424290035,0.0895685103370442,0.1139393092434,0.00621932358925325
AMR,2009,269576.062215202,246098.241256206,294107.871067008,923611483,29.1871709238161,26.6452123848493,31.8432453992138,1.32629340586146,246295.20023738,224131.95798219,269488.102525235,26.6793306992561,24.2785511918843,29.1916456344105,1.25360620666471,23248.780987707,16205.0580152846,31543.6738398589,2.51836785990065,1.75537363851881,3.41689202644619,0.424919773193258,20181.5080150055,19101.7098580234,21290.5748575469,2.18506464963532,2.06815421956197,2.30514401882409,0.060461753385819,5389.5103082076,3891.74310201166,7127.32219124205,0.583525693152041,0.421361489505394,0.771679685931541,0.0895527022588617,26274.4726839713,24313.166734279,28310.7706170405,2.84475379178144,2.63240195491149,3.0652250581688,0.110430682002945,0.0864615484215807,0.0592502804616232,0.118187339494197,0.0150771665200265,217882,23.5902220804243,0.0976671524569447,0.086547603329448,0.10937369258259,0.00582500568308086
AMR,2010,267574.593359625,245034.178074426,291092.299716833,933366288,28.6676942160595,26.2527349899771,31.1873595028357,1.25906893971489,238054.042432839,218126.786644321,258839.632136725,25.5138264143516,23.3780905961032,27.7415555560422,1.11333521760779,29483.1950028822,26033.7174409402,33144.151952281,3.15990903475726,2.79020570673913,3.55227800762915,0.194474351406084,20104.1183255699,19108.3970784225,21124.7724126505,2.15393662531445,2.04725597271867,2.26328855929823,0.0551145320566678,6301.4739954267,5327.78958852647,7355.6654760997,0.675134090061189,0.57081444412812,0.788079189346048,0.0554584867544175,27094.5330132082,25633.8970732061,28595.067911091,2.90288318332836,2.74639200095109,3.06364910311513,0.0809399415653322,0.110438049621112,0.0946344189989252,0.127285564419273,0.00833395850553311,215710,23.1109696989613,0.101455058838217,0.0913627933480171,0.112007025946898,0.00526780013339103
AMR,2011,271959.567298307,250671.991857083,294102.051997451,942969626,28.8407558207295,26.5832519887637,31.1889210307874,1.1751082852276,239827.78460307,220949.83186241,259468.340379804,25.4422733246747,23.4395944681231,27.5258533783671,1.0425857118564,32108.2068636857,28291.0455622978,36163.4076561886,3.406218242574,3.00127241315304,3.8364166331402,0.213124057537376,19361.246078791,18360.4870608853,20388.1863800683,2.05322054337209,1.94709209656826,2.16212546172387,0.054859894026128,6658.72912148151,5606.62734426397,7799.96130242618,0.70614460295262,0.594571361544998,0.827169941359933,0.0593742396200269,26644.5231526677,25131.680789608,28200.9552279261,2.82559717916807,2.6651633410733,2.99065361707908,0.0830410512127673,0.11830040218533,0.101565032342603,0.13611443429806,0.00881838924541014,221188,23.4565349616044,0.0981350162861898,0.0886988837668809,0.10798794758806,0.00492191579472175
