iso3,year,measure,hiv,baseline,sd1,disrupt,sd2,ratio,ratio.sd
AGO,2020,inc,a,348.615697353594,8.83059690464734,347.702740512351,8.7735013375146,0.999958594656176,
AGO,2020,inc,pos,348.615697353594,8.83059690464734,347.702740512351,8.7735013375146,1.01446304541884,0.0677624890826046
AGO,2020,mort,a,55.0283978589777,4.04331497396384,56.2841914881221,4.10495792650839,1.00307044210344,
AGO,2020,mort,pos,55.0283978589777,4.04331497396384,56.2841914881221,4.10495792650839,1.0162485069775,0.067503672173844
AGO,2021,inc,a,354.90069443936,10.0819005415926,360.319737050561,10.2267977391604,1.00690687053032,
AGO,2021,inc,pos,354.90069443936,10.0819005415926,360.319737050561,10.2267977391604,1.0114811994787,0.0681816794648734
AGO,2021,mort,a,55.7034911711135,4.21653389590993,62.6091698748846,4.57040362487437,1.00817166731173,
AGO,2021,mort,pos,55.7034911711135,4.21653389590993,62.6091698748846,4.57040362487437,1.00946032755398,0.0690915272035802
AGO,2022,inc,a,360.660812234212,11.2057270340353,372.139221068426,11.5921083206022,1.00840119305951,
AGO,2022,inc,pos,360.660812234212,11.2057270340353,372.139221068426,11.5921083206022,1.008659342038,0.0700750932489762
AGO,2022,mort,a,56.6073552515076,4.37369859877569,59.900426982841,4.56934131481879,0.998012897477665,0.0356606421255338
AGO,2022,mort,pos,56.6073552515076,4.37369859877569,59.900426982841,4.56934131481879,0.998012897477665,0.0356606421255338
AGO,2023,inc,a,367.012912307272,12.1673769516016,379.279816092676,12.6212054953406,1.02851254480386,0.105926662680521
AGO,2023,inc,pos,367.012912307272,12.1673769516016,379.279816092676,12.6212054953406,1.02851254480386,0.105926662680521
AGO,2023,mort,a,57.0770364983722,4.51025425975881,59.4712388376648,4.65254208199649,1.01611221746494,0.0407787370333872
AGO,2023,mort,pos,57.0770364983722,4.51025425975881,59.4712388376648,4.65254208199649,1.01611221746494,0.0407787370333872
AGO,2024,inc,a,372.487149231634,12.9712773269993,384.160771442991,13.4174299963636,1.13153868186244,0.119308505167017
AGO,2024,inc,pos,372.487149231634,12.9712773269993,384.160771442991,13.4174299963636,1.13153868186244,0.119308505167017
AGO,2024,mort,a,57.6533229153436,4.62395924972153,59.7413823578807,4.74633199802293,1.03289199108146,0.0454445872955043
AGO,2024,mort,pos,57.6533229153436,4.62395924972153,59.7413823578807,4.74633199802293,1.03289199108146,0.0454445872955043
BGD,2020,inc,a,237.287085332128,5.73555407564099,237.43343524103,5.58656274807542,1.06506866956395,0.115176114279331
BGD,2020,mort,a,20.4779464924698,1.5232259368099,24.2154774575454,1.7840702758374,1.06506866956395,0.115176114279331
BGD,2021,inc,a,235.378703344225,5.62900307776317,246.407695661333,5.57050498760743,1.03464575991532,0.0486010578823315
BGD,2021,mort,a,20.313706457209,1.50894604269014,23.6120572159493,1.72167992084354,1.03464575991532,0.0486010578823315
BGD,2022,inc,a,233.823967179348,5.54034354923379,246.154270942611,5.71171111089478,1.04887000177787,0.116007683868659
BGD,2022,mort,a,20.1805854247894,1.49726059137414,21.4686488016369,1.5821240747054,1.04887000177787,0.116007683868659
BGD,2023,inc,a,232.55773570412,5.4676905361882,242.995765234611,5.70460937271686,1.03267785438242,0.0509195371226128
BGD,2023,mort,a,20.0730982145458,1.4880111226112,21.0621720345472,1.55395285176855,1.03267785438242,0.0509195371226128
BGD,2024,inc,a,231.527299179391,5.40927162342996,240.238365916667,5.65592482637469,1.0432404358164,0.11708876067896
BGD,2024,mort,a,19.9867604463222,1.48259720122034,20.8162397477452,1.53920528009313,1.0432404358164,0.11708876067896
CHN,2020,inc,a,55.4493872914286,0.59653709293416,55.5121043986695,0.598239192787053,1.0011714001812,0.0337525459310145
CHN,2020,mort,a,2.13040252812213,0.032324061304603,2.60352202827718,0.0339326154731332,1.19149041089535,0.127069189808514
CHN,2021,inc,a,54.6184513606107,0.587330980734756,55.0743063632453,0.592338091425864,1.04744270270111,0.0344342017256449
CHN,2021,mort,a,2.09826066219776,0.0318553646308903,2.3177190343393,0.0380973649261578,1.17072040620018,0.123382706504672
CHN,2022,inc,a,53.8010074542683,0.578288884509033,54.1713599850446,0.581436361665605,1.05336143945898,0.0349673901313958
CHN,2022,mort,a,2.06664055397709,0.031394367697765,2.08309979825572,0.0322165052946764,1.07036545487229,0.111626847658768
CHN,2023,inc,a,52.9965612880545,0.569401533545864,53.2317597802034,0.571280920346649,1.0455123261953,0.0347809265547259
CHN,2023,mort,a,2.03552364208548,0.0309407199673579,2.04448495382259,0.0312582689014265,1.05556193441653,0.109969919963599
CHN,2024,inc,a,52.204734481176,0.560662237259064,52.3540671695244,0.561933431398947,1.03824357841443,0.0344726653888988
CHN,2024,mort,a,2.00489570127971,0.0304941605554225,2.01051042045819,0.0306930007653935,1.04767830365066,0.109250781176945
IDN,2020,inc,a,349.941107765517,3.09185936637417,353.211310762802,3.05401864662765,1.00124760196243,0.015244795159213
IDN,2020,mort,a,31.4285227682731,0.295918251886625,36.7379646746713,0.359948384702486,1.22238989747182,0.0246799512292391
IDN,2021,inc,a,347.976595296728,3.03596172061663,391.291997760135,3.27493756417554,1.00846476828868,0.0153368924825897
IDN,2021,mort,a,31.2210024811854,0.290806227388358,50.111225622107,0.568432612111521,1.10495475786813,0.0251538508634369
IDN,2022,inc,a,346.328935268048,2.98682867493457,412.641560680882,3.52575927564457,1.00700134593234,0.015295164964794
IDN,2022,mort,a,31.0566095572895,0.28636609403525,39.3349256729181,0.349803851807189,1.00820919806822,0.0218555424950629
