iso3,cfr,cfr.sd,cfr.lo,cfr.hi
ABW,0.100693259810731,0.0214371327078408,0.062702040248553,0.146382595948992
AFG,0.148158827890426,0.043801856725576,0.0732806071532973,0.243531877004934
AGO,0.163373169210372,0.0464220003992203,0.083291152893994,0.263815848339041
AIA,0.420539526421968,0.11451305439599,0.207772893908163,0.650426674532333
ALB,0.0298056377210324,0.0079659429361324,0.0162396910388671,0.0472702022682087
AND,0.469331593865503,0.0999185415249118,0.277810262746442,0.665709241209429
ARE,0.853869159639913,0.181784823778072,0.34638691573438,0.999959992293519
ARG,0.0660363678176132,0.00682120751492619,0.0533002087744224,0.0800130358008004
ARM,0.0240842158954801,0.00562984709778653,0.0143155591697879,0.0362784318880102
ASM,0.0826973230486922,0.0176453018961556,0.0515059966278029,0.120387763784177
ATG,0.488137518907676,0.103922236624073,0.287597448006902,0.690709650576034
AUS,0.0288487170092021,0.00614175940017887,0.0180587347107914,0.0420379103774595
AUT,0.0831521422894876,0.0177027093228642,0.0518496046359076,0.120956651128347
AZE,0.126912695895789,0.0170649175209739,0.0953840522231683,0.162162894356662
BDI,0.252987141016562,0.0688884835456689,0.131144017840686,0.398894519573918
BEL,0.0398584036825396,0.00848567114493432,0.0249318383485632,0.0580615492107899
BEN,0.180464430273092,0.047407508197117,0.0975089976646801,0.282052080643914
BFA,0.256885312381538,0.0699499579194601,0.133051640257672,0.404908891313124
BGD,0.110011517339162,0.0274240961139615,0.0622716957460104,0.169151925469134
BGR,0.0875626155181307,0.0204752150831829,0.051740702541391,0.131601826557859
BHR,0.0549783565229846,0.0117046396854917,0.0343530294437869,0.0800486147962829
BHS,0.0574120654979588,0.0122227651525473,0.0358674752669916,0.0835855634480863
BIH,0.12526483920059,0.017443400942584,0.0931139603799197,0.161365602860746
BLR,0.135904221526374,0.0182552787227512,0.102147404998215,0.17358364187031
BLZ,0.138256163600821,0.0177781919680862,0.10528805080315,0.174867138379243
BMU,0.0551349739561946,0.0117379828179555,0.0344505060541883,0.0802762472221348
BOL,0.115598927037469,0.0276410717322382,0.0671796771889599,0.174952251035183
BRA,0.070669037697501,0.00574259357695894,0.059828935383097,0.0823259911769159
BRB,0.379275372948365,0.0807459855604302,0.228632725355985,0.542950872587245
BRN,0.0321265325636062,0.00683959128250807,0.0201061210210136,0.0468096534982215
BTN,0.130137216666446,0.0309432024570068,0.0757751535716375,0.196420807124426
BWA,0.604273236113053,0.149955088032726,0.29811041086527,0.86966245336263
CAF,0.283541434161342,0.0772084278404499,0.145967456972455,0.44587619719908
CAN,0.049706091586247,0.0105821986866385,0.0310702979245352,0.0723843348167187
CHE,0.0739814666243503,0.015750314578433,0.0461630561907602,0.107650091287082
CHL,0.160180809498074,0.0341017589152839,0.0992424088227447,0.232325865726315
CHN,0.0613570042771036,0.00560079574670723,0.0508405064975755,0.0727787094723941
CIV,0.22234399430626,0.0592639157661643,0.117959852100798,0.348494201761858
CMR,0.319077845693623,0.0853419021858228,0.165286109601337,0.496627132942989
COD,0.181206048430764,0.0493424679038575,0.0952663820129318,0.287239207752368
COG,0.245499661328223,0.069331833975157,0.123652963157051,0.392983245859285
COK,,,,
COL,0.111359168728854,0.0158704873530257,0.0821892843282549,0.144282519964198
COM,0.291881321269558,0.0794793819033974,0.149959741323543,0.458632597464403
CPV,0.152091646223357,0.0355643689987057,0.0892692554009423,0.227939690255951
CRI,0.073123215578524,0.0170987762035753,0.0432676543239744,0.109962915816283
CUB,0.0864350200454529,0.00899507865036392,0.0696255907467666,0.104850636608295
CUW,0.0778946449752628,0.0165834122830424,0.0485905851539156,0.113329186323657
CYM,0.118201097859482,0.0251644710459177,0.0735002540680596,0.171724271179757
CYP,0.0574852123367003,0.0122383377786814,0.0359129843022651,0.0836918597683108
CZE,0.073741592366151,0.0156992464501801,0.0460142006967211,0.107301914721587
DEU,0.0593714125284468,0.0126399011395263,0.0370863263690307,0.0864326830425551
DJI,0.125924776929886,0.0290825946525237,0.0746841535762179,0.188112245860881
DMA,0.0900394552606121,0.0192119081013472,0.0560471781480518,0.131042763411986
DNK,0.0676186593069665,0.0143957021136706,0.0422126347337982,0.0984124449487762
DOM,0.105445627285444,0.0278180640877371,0.0574333226583674,0.165776991020784
DZA,0.12903532073878,0.0303149872206111,0.0757079014987733,0.193919927733209
ECU,0.110271713318325,0.0164642094436653,0.0801126593256701,0.144517039017008
EGY,0.0520903040200062,0.00471685588776988,0.0432345382630506,0.0617106609762476
ERI,0.224057015297074,0.0929227868227491,0.0725367568087616,0.429809543448253
ESP,0.0704296003918454,0.0149941385649657,0.0439583351910443,0.102493948185764
EST,0.0810453615562445,0.0172541853774705,0.0505439930104734,0.117900540470035
ETH,0.149852915834612,0.0376372026977716,0.0839733598457407,0.230608065540665
FIN,0.0941922919058431,0.0200531064883258,0.058683814750511,0.136963496841926
FJI,0.101959630051542,0.0138459709796504,0.0764489244867144,0.13063139594812
FRA,0.0680374105030531,0.0144848523207345,0.0424727444354343,0.0990205264620335
FSM,0.111824763606931,0.0261485574971651,0.0659184529553596,0.16789728094031
GAB,0.221447850897912,0.0603003242437759,0.11554736476337,0.3500354123239
