year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
2000,10632359.6198049,8061271.60779079,13553190.1663535,6117972024,173.788954544015,131.763786695452,221.530764004577,22.9351072523975,8844212.59138025,6601206.06488849,11409692.7336631,145.21259482384,108.384805514917,187.335059043324,20.1747940800873,1775324.68589062,1244295.42240692,2399212.43712187,29.1489492851237,20.4300117334624,39.3925247644599,4.84917444185877,1737436.50236348,1633251.30134123,1844796.466665,28.3988958358708,26.695958970296,30.1537251139447,0.882174089523953,675335.794887547,535418.694761553,831247.232550625,11.0385564405704,8.75157147926103,13.5869734168406,1.23489618327426,2412772.29725102,2234199.3577624,2598110.16197746,39.4374522764412,36.5186265808004,42.4668526071289,1.51762963455935,0.170647310369317,0.106775576212186,0.245786006813291,0.0356162370719605,3748455,61.2695675183754,0.230879511057629,0.172665861409612,0.294709418583511,0.0311950403060881
2001,10776110.9956535,8186288.33436456,13715734.0205177,6196893809,173.895363189909,132.103092076151,221.332403672914,22.7972784729605,9100276.1665278,6800698.14604357,11729062.7013416,147.508564620283,110.234151533608,190.119197676649,20.4134003310346,1660309.16647093,1181324.76068153,2219512.61025274,26.9123505144647,19.1483771052433,35.9766135998395,4.30259622114736,1732577.18807584,1631375.76311988,1836780.1277391,27.9588006746146,26.3257014465951,29.6403356964334,0.845653371866917,653797.166418172,517150.561445333,806219.044604152,10.5504013231377,8.34531908057315,13.0100509941488,1.19133387435235,2386374.35449401,2212204.60809348,2567047.26423356,38.5092019977523,35.6986044343797,41.4247418683427,1.46096065160197,0.157421577281687,0.100000498273276,0.224922220575931,0.0319973159027315,3848055,62.0965134889243,0.225256404678847,0.168871161432331,0.287116284012682,0.0302228237425964
2002,10906011.6059207,8302065.73219944,13859032.2829068,6276734777,173.752946291181,132.267269960504,220.80003019549,22.6188413947823,9306088.08990439,6963785.05459946,11982177.6191124,148.919747495903,111.437276536392,191.743603569049,20.5207604091291,1585507.24210612,1136797.63708252,2107674.06988356,25.3719216781877,18.1914909286022,33.7278443163703,3.97192723024848,1721716.85195045,1622822.3008128,1823494.28194478,27.4301354624602,25.8545622599723,29.0516382598585,0.815658872831383,615487.414114182,486448.234292684,759475.84083818,9.8058534569523,7.7500205373531,12.0998555430627,1.11092000470575,2337204.26606463,2170706.93576263,2509763.97198802,37.2359889194125,34.5833783469203,39.9851843538875,1.37820268962297,0.148497529829906,0.0951318114642364,0.2112221993629,0.0297305347717359,4101395,65.3428119191661,0.217935891708991,0.163844920437299,0.277325044763746,0.0290034400885488
2003,11041675.5820901,8429040.32539263,14000940.747458,6355936462,173.722246093939,132.616812263417,220.281320166823,22.3963781672682,9466717.7348734,7099246.98201421,12169058.5636256,149.571752991677,112.166312100879,192.2680566375,20.4680156788937,1561154.41680213,1115996.73562963,2079842.09336337,24.6658461096408,17.6324670023919,32.8609806019952,3.89336492224386,1691755.76865585,1596380.5253517,1789858.36583076,26.6169395929347,25.1163701036963,28.1604194209889,0.7766154665974,611448.691617716,481015.482813234,757290.804345009,9.62011963576668,7.56797185889229,11.9147006719245,1.11017350275394,2303204.46027357,2137494.15540369,2475010.94623102,36.2370592287014,33.6298855122773,38.9401461299728,1.35484936032581,0.144344238929147,0.0924392339056493,0.20543084683486,0.0289367410600771,4525143,71.1955354974724,0.212058840882531,0.159849904688177,0.269408238362212,0.0279998633879709
2004,11105520.8586369,8498913.57996258,14054778.1557654,6435710463,172.560914952349,132.058669028451,218.387359663998,22.0545551939645,9540170.85970595,7169357.08106176,12243889.7156325,148.695903874554,111.743704284219,190.836859735491,20.2098481419496,1552778.87910324,1099728.58761092,2082734.55611866,24.2020674829601,17.1406926307955,32.4621122521884,3.91755614641404,1636501.20941238,1544811.14413891,1730796.60649089,25.4284467708873,24.003739028042,26.8936369409645,0.737286780315683,602923.954058337,475049.301325051,745807.245789023,9.36841328590914,7.38145856710289,11.5885767403117,1.0745010583895,2239425.16347071,2078045.27562104,2406751.89309261,34.7968600567964,32.2892909425941,37.3968329826123,1.30312866629064,0.142543295646909,0.090732432270199,0.203672378905228,0.0289260607046638,4826950,75.0025972695783,0.204943611290742,0.154884009379198,0.259971004731372,0.0268559231824034
2005,11156137.441802,8573368.09350751,14073137.0882468,6516277492,171.204149232415,131.568492962938,215.968965494859,21.5610559716224,9559719.88301134,7215484.56156488,12228111.4813285,146.851331356503,110.840435411829,187.841743584978,19.6744414997016,1594786.3636577,1119075.79459149,2153411.42859959,24.4982597396522,17.1906470415145,33.0795608153893,4.06312110913938,1613831.52374721,1525644.83045489,1704460.3806003,24.7661571461391,23.4128278350318,26.1569643510862,0.70009677016403,641540.43816288,505401.34407372,793667.91775959,9.84519825852254,7.75598253288321,12.1797747062486,1.1298412678634,2255371.96191009,2088786.42444016,2428255.34438334,34.6113554046617,32.0549029258583,37.2644557780803,1.3291639395354,0.145363355244343,0.0920220521642754,0.208360089916605,0.029799159038274,5148430,79.0087593157397,0.205370618347746,0.155724179469027,0.259882090773306,0.0266174821840544
2006,11164560.8229943,8625868.74526621,14025120.8965127,6597730533,169.218199608977,130.739937045353,212.574927490036,20.9045801512685,9514784.37377816,7220918.40830471,12119698.6155438,144.270169058377,109.488883678107,183.767797515182,18.9777781997799,1648148.69591109,1154045.95857322,2228891.09021108,24.9904445178739,17.4984948690313,33.7960884624627,4.16773984016298,1563507.16369673,1480188.01580603,1649074.93845709,23.6976511222534,22.4348055502198,24.9945785177021,0.653058818955943,655441.221477726,521751.424243232,804147.80313624,9.93434360799357,7.90804385892358,12.1882486578395,1.09306729690836,2218948.38517446,2057326.35379459,2386592.6825378,33.631994730247,31.1823337358872,36.1729335655758,1.27329569880161,0.149935579118292,0.0950201509916597,0.214682136078312,0.030650479952547,5416209,82.0920007707141,0.201782429407219,0.153855861552279,0.254351867662837,0.0256798802275694
2007,11128263.7950108,8653810.4832932,13908567.5573249,6680020882,166.590254605296,129.547656154965,208.211438302581,20.0932488514228,9552520.09462325,7314760.50625393,12083888.7656026,143.05860202571,109.545900119756,180.968395430471,18.2463309825031,1574135.51710787,1119446.76514522,2105089.91112516,23.5742635708481,16.764841913708,31.5258399711192,3.77407336037952,1537363.84385598,1457122.27483988,1619725.27305249,23.0143568562572,21.8131395182647,24.247308528885,0.621012562981655,640134.672133425,523871.172069406,767874.321361009,9.58282441688668,7.84235829982254,11.4950886370749,0.932609630543793,2177498.51598941,2033252.86898384,2326615.6063024,32.5971812731439,30.4378220502671,34.8294660660673,1.12045407151033,0.143569144040331,0.0926232398300241,0.20339454880861,0.0283648813365013,5594219,83.7455316206301,0.198519431983445,0.15266460028113,0.248712166513745,0.0245406864110113
2008,11075951.1217849,8704754.76843163,13727928.3711639,6763040153,163.771778241946,128.710677025484,202.98457588004,18.9700567407101,9484118.68050315,7321493.65419392,11921897.2059071,140.28885066893,108.299354376303,176.348410764626,17.3831292046677,1590225.69875697,1174056.68073428,2068538.52079516,23.5225794929609,17.3666175961067,30.5977710130643,3.38146217753863,1497397.06071105,1421393.68617193,1575351.60869514,22.1408867437645,21.0170818746569,23.2935421505125,0.580775392246913,608278.505524177,497482.720420429,730045.645333804,8.99415783084406,7.35590369369242,10.794637157521,0.877976690395457,2105675.56623523,1968431.9731959,2247477.08907432,31.1350445746086,29.1057265469987,33.2317572900609,1.05268377261042,0.145557341408393,0.0975647436415449,0.201174011509063,0.0265161391408803,5742609,84.9116502354736,0.192663152196723,0.149741626365174,0.23953583030644,0.0229400738806822
2009,11053336.9434064,8767299.27099683,13599750.489889,6846605069,161.442595739217,128.053234889994,198.634949041618,18.0255491227835,9468178.90164886,7371941.70466874,11822330.5829527,138.331000296558,107.704774141641,172.725381761812,16.6081493547855,1584221.18573076,1197242.52422831,2024545.93096305,23.1456232069053,17.4918279105644,29.5788098942314,3.08827740419362,1466319.2106268,1391313.47127585,1543265.92210226,21.4167342186274,20.3212169718307,22.5406008751672,0.566214488137648,589074.7098568,484333.678137515,703914.829101825,8.60389498036052,7.07407062706855,10.2812243733614,0.818815995182508,2055393.9204836,1923957.08010626,2191110.72627923,30.0206291989879,28.1008917663082,32.0028788603585,0.995519201494225,0.145154786990511,0.0997890000883201,0.197286911021262,0.0249432521179446,5851936,85.4720834782241,0.188270499253618,0.147694659164209,0.232481164671502,0.0216585028664467
