iso3,year,measure,hiv,baseline,sd1,disrupt,sd2,ratio,ratio.sd
AGO,2020,inc,a,352.194357659878,71.922220331549,350.210044281427,71.179731951553,1.03498157283863,0.286512326480482
AGO,2020,inc,pos,27.2724943493444,5.50135408909096,27.2667874227537,5.38621726498029,1.0387873785827,0.282274053863992
AGO,2020,mort,a,61.8217963526216,12.2553384369012,63.3877254311883,12.3643188342938,1.06634264537154,0.285218317892753
AGO,2020,mort,pos,8.5308274615405,1.83599420695174,8.75194551399872,1.87697671540167,1.07558470728736,0.311883391754662
AGO,2021,inc,a,353.024784944972,72.9561342362609,369.822471802499,74.2590495808837,1.09393502824787,0.30210398338412
AGO,2021,inc,pos,27.192935707804,5.54800364810351,28.5562590258804,6.01362191037298,1.10149286605278,0.309124838353955
AGO,2021,mort,a,62.0356134205184,12.2856152829035,71.4907048819758,13.2640821264011,1.20509816966343,0.316124062005561
AGO,2021,mort,pos,8.52993068499571,1.84930294825675,10.0261073636772,2.17355096122739,1.25172264309161,0.369741973861065
AGO,2022,inc,a,353.885026471793,74.0748282666129,379.863918407621,76.3589856257013,1.12338657633797,0.312184572845903
AGO,2022,inc,pos,27.0492490351699,5.51296445465099,28.4647673282445,6.1670020189248,1.10703150914994,0.314805126427892
AGO,2022,mort,a,62.1657628075642,12.3379414053668,67.7756462388779,13.0293348647518,1.13813287644283,0.30266102038322
AGO,2022,mort,pos,8.49752798714597,1.85116901463914,9.34226204161062,2.07274908327994,1.16482293446285,0.345505419288324
AGO,2023,inc,a,354.585886715497,74.8112250153201,377.909932177816,77.5881972280741,1.11680706036243,0.314481740383185
AGO,2023,inc,pos,26.8241230128377,5.47239141402493,28.1901700662363,5.99724714096449,1.1034581935616,0.311171165235996
AGO,2023,mort,a,62.1107180535554,12.4042492373474,66.5418040473907,13.0420676934975,1.11857932827766,0.30081963511216
AGO,2023,mort,pos,8.46048224008674,1.8491101141041,9.08125700209431,2.01395036038744,1.13419509032018,0.336232275157018
AGO,2024,inc,a,354.753025753996,75.2130979318617,375.28609444529,78.3169424899592,1.10943784195054,0.315424531399998
AGO,2024,inc,pos,26.402960497609,5.4596788241312,27.8033342340855,5.89559651454423,1.10554276806634,0.313126398483594
AGO,2024,mort,a,62.0972877243769,12.4609081521184,65.7190204928947,13.0933300131533,1.10537501966515,0.300105235972875
AGO,2024,mort,pos,8.36816176152879,1.84911253006246,8.8946855872771,1.96327113408467,1.12142596593207,0.333189139227299
BGD,2020,inc,a,219.648757667086,30.4677402706597,218.409914160382,29.861577835719,1.01273845333792,0.193689704558155
BGD,2020,mort,a,23.6927372963148,4.66698538014297,26.80356192625,4.95635721192123,1.18080627234565,0.307910458957353
BGD,2021,inc,a,219.126007475281,29.0960042448292,231.426394858892,29.2529974497151,1.07495611826507,0.19367474672865
BGD,2021,mort,a,23.5000450366156,4.59535634256047,26.8108746485192,5.02928102345525,1.19313975531558,0.31281621790352
BGD,2022,inc,a,219.499815602683,28.35921355406,233.601482531916,28.8317372644598,1.08260632850843,0.190351966164401
BGD,2022,mort,a,23.3507062869002,4.54452984454493,25.0955579233328,4.82111868545286,1.12053711085338,0.29515070526863
BGD,2023,inc,a,220.237063152998,27.8207363875358,232.180449914309,28.7961236653555,1.07225249519443,0.186968903843029
BGD,2023,mort,a,23.1684218741947,4.43050091204837,24.6167365268291,4.69306000348843,1.10610911454853,0.287907933612212
BGD,2024,inc,a,221.944071048807,27.389273770575,231.724475943035,28.5441007091046,1.06133625040148,0.182371501836963
