iso3,cfr,cfr.sd,cfr.lo,cfr.hi
ABW,0.100693259810731,0.0235624083329587,0.0593974375476434,0.151294222910014
AFG,0.149874858109477,0.0447764185114632,0.0734330543385887,0.247437695640531
AGO,0.188476245300344,0.0509884230717872,0.0994631483729956,0.297843555331563
AIA,0.420444926313547,0.153697424226935,0.143790192375879,0.729282230961652
ALB,0.0318078237458262,0.00885416693068059,0.0168233426390554,0.0512954806410673
AND,0.469331593865503,0.10982445775421,0.259609197443878,0.684970996478616
ARE,0.853869159639913,0.218080037691487,0.214737273371694,0.999999886166477
ARG,0.0682492592536362,0.00758920822315597,0.0541322466103513,0.0838480748519194
ARM,0.0854513452131434,0.0139587561378991,0.060119363687119,0.114703187000928
ASM,0.0826552002788692,0.019341469165602,0.0488428553243612,0.124282813832795
ATG,0.508381323848874,0.0575622480013226,0.395676611389577,0.620659141007534
AUS,0.0325256636881673,0.00257100552942445,0.0276753627508014,0.0377479210496511
AUT,0.0984476828950307,0.00768461059405158,0.0839008980745022,0.114007034554061
AZE,0.132233614733545,0.0184486336475458,0.0982125826420823,0.170396108855213
BDI,0.252930231714426,0.0696597949783927,0.129897721628963,0.400591090063751
BEL,0.0438301710754917,0.00448605902596862,0.0354607637608748,0.0530293329200119
BEN,0.181771747720257,0.049163496226166,0.0960554263672677,0.287350284807327
BFA,0.256827526188146,0.0708726030233264,0.131568001483284,0.406944553313678
BGD,0.125015400933027,0.0282222608452269,0.0751640579065749,0.185261854151795
BGR,0.0744167954544736,0.00955826548077995,0.0567807599889763,0.0941922968923969
BHR,0.0549783565229846,0.005951021119342,0.0439014543306112,0.0672044629876298
BHS,0.0994956888715052,0.0169685730162247,0.0687695446502227,0.135106429864396
BIH,0.135969182941959,0.0208024914151446,0.0978349560964203,0.179197190607862
BLR,0.1407904639209,0.0189179793804072,0.105793640531846,0.179822468385944
BLZ,0.126438486087512,0.0161668833204327,0.0964782241287856,0.159753267233511
BMU,0.0551349739561946,0.0176597627379314,0.0258778161265869,0.094475519356294
BOL,0.120041859680571,0.0291701863584946,0.0690137876178961,0.182725812128693
BRA,0.0822525903653879,0.00747997261153946,0.0681899032772646,0.0974886787455199
BRB,0.393288786272734,0.0383477239712083,0.319489588811543,0.469595632597065
BRN,0.0648548027707646,0.00707199370615768,0.0516886815477128,0.079380588831677
BTN,0.132866519328677,0.0322365068542258,0.0763499580887214,0.20200834626676
BWA,0.419284753649578,0.108996472318596,0.216152440631694,0.638106584752243
CAF,0.283477651689712,0.0711468883374294,0.155569664773879,0.432331726379784
CAN,0.0455933919590851,0.00457706867660555,0.0370449393128756,0.0549705470453168
CHE,0.0513769510710699,0.00466783173087429,0.0426148509753968,0.0608988592104529
CHL,0.148470994039738,0.0118018309657583,0.126088178714871,0.172322296033477
CHN,0.0383005089373897,0.00357407844600695,0.0316041305124808,0.0456033880684383
CIV,0.230570343795824,0.0644755224170834,0.117502368677243,0.368077554902622
CMR,0.372880931063214,0.108554934480307,0.175776153797671,0.595527485274785
COD,0.18116528624136,0.0486061012821798,0.0963385448397293,0.285488477478524
COG,0.261052871621274,0.0779581208244083,0.124547758723761,0.426943666570347
COK,0.0275517334262899,0.00854774977433101,0.0133697161180879,0.0465955733586185
COL,0.107513344788243,0.0154965083414562,0.079062903671423,0.139690687447036
COM,0.29181566274544,0.104881133425696,0.111802542204007,0.516010304134103
CPV,0.152057433300864,0.0225904848527705,0.110492436425153,0.19885611345162
CRI,0.0904480374392143,0.013356563078675,0.0660061296680547,0.118258060509329
CUB,0.0763273554698895,0.00738684805955299,0.0624830620753547,0.0914142696768473
CUW,0.0778946449752628,0.0182274904527661,0.0460505431683006,0.117146753326462
CYM,0.118201097859482,0.0276592746962824,0.0696011366509794,0.177467688251817
CYP,0.12979512139835,0.0113367089266159,0.108390273595438,0.152797192676869
CZE,0.0563908840252225,0.00432771366153226,0.0482089970825916,0.0651643260937493
DEU,0.0632766122051208,0.00506534377711832,0.0537126047523956,0.0735568853383345
DJI,0.123379339348907,0.029792493046654,0.0711939264303875,0.187337846668526
DMA,0.0948019313767209,0.00732637030196947,0.0809306790495161,0.109633693455401
DNK,0.0471660040943004,0.00428783036862217,0.0391191209353378,0.0559146685954041
DOM,0.111394265840833,0.0298024324396344,0.0600111723995719,0.176057975642823
DZA,0.132017552822064,0.0314250531868194,0.0768003514221664,0.199321981942246
ECU,0.11389794045205,0.0174695329451622,0.0819494247985346,0.150278102043128
EGY,0.0540772033744683,0.00564960019567575,0.0435421054323389,0.06566641436874
ERI,0.233934731868963,0.0981388632138897,0.0738630534253676,0.45082691958217
ESP,0.0873700790914161,0.0084767615568307,0.0714749532638405,0.10467454414448
EST,0.136368439154512,0.012055803232272,0.113607974924759,0.160830609114167
ETH,0.146977011330371,0.0396367283270874,0.078293895772371,0.232577464249267
FIN,0.155689974442438,0.0118775878106014,0.133124090409452,0.179657043066034
FJI,0.105991296037262,0.0153006605730964,0.0779072770060316,0.137768620190576
FRA,0.0939691124838651,0.00661710361286428,0.0814014259092863,0.107328130626434
FSM,0.111799608694975,0.0264710593032304,0.0653990844345563,0.168622400540689
GAB,0.21719793111287,0.076943186491905,0.0876792175475812,0.385190332677432
GBR,0.0727189393119528,0.0045533498890253,0.0640466081875781,0.0818890464616394
GEO,0.0751534433750344,0.00840197915008094,0.05952223142436,0.0924199326785133
