g.whoregion,year,inc.num,inc.lo.num,inc.hi.num,pop,inc,inc.lo,inc.hi,inc.sd,inc.nh.num,inc.nh.lo.num,inc.nh.hi.num,inc.nh,inc.nh.lo,inc.nh.hi,inc.nh.sd,inc.h.num,inc.h.lo.num,inc.h.hi.num,inc.h,inc.h.lo,inc.h.hi,inc.h.sd,mort.nh.num,mort.nh.lo.num,mort.nh.hi.num,mort.nh,mort.nh.lo,mort.nh.hi,mort.nh.sd,mort.h.num,mort.h.lo.num,mort.h.hi.num,mort.h,mort.h.lo,mort.h.hi,mort.h.sd,mort.num,mort.lo.num,mort.hi.num,mort,mort.lo,mort.hi,mort.sd,tbhiv,tbhiv.lo,tbhiv.hi,tbhiv.sd,c.newinc,newinc,cfr,cfr.lo,cfr.hi,cfr.sd
AMR,2000,299495.448436299,268116.263914834,332585.385087192,833080431,35.9503641295229,32.1837188748986,39.9223619606534,1.9747024148185,259458.424247199,231102.331213142,289431.123892142,31.3290080348574,27.9050750133003,34.9481425868661,1.79725259029196,39652.7436686056,28496.4246201766,52623.2146610912,4.78797760605491,3.44087773785151,6.35413214938287,0.744764104815921,27965.8124868139,25811.0147243293,30205.7616784548,3.35691626476506,3.09826203615738,3.6257917668522,0.134595362144831,9878.6891412546,6744.27713366536,13601.8410092806,1.18580256763402,0.809558943254707,1.63271642246517,0.210571870690138,37844.5016280685,33873.4448236048,42032.4706546845,4.54271883239909,4.06604735426858,5.04542767908139,0.24991283327761,0.133584840186267,0.0935382706545898,0.179438154623359,0.0219701805409323,238636,28.6450132688329,0.126742106828103,0.108116332087698,0.14660159792581,0.00982343454302427
AMR,2001,290154.91130606,261556.312611019,320215.366366994,843636757,34.3933462948984,31.0034277715829,37.9565451256166,1.77420108849939,255821.624161027,229964.889191327,283035.611078464,30.5016954016909,27.4187884867086,33.7464279075668,1.61462017706513,33974.2236696366,24225.7114690203,45345.3751803214,4.05075773120685,2.88843945284388,5.40654382193649,0.643804929325841,26955.97913646,25130.2975176876,28844.7672677348,3.1952115543562,2.97880542889712,3.41909797414562,0.112333769843917,8957.71348810834,5984.81913405491,12520.5654040597,1.0617974399269,0.709407109682741,1.48411805201367,0.19823592450383,35913.6926245683,32244.5422674352,39777.6915716119,4.2570089942831,3.82208835732784,4.71502589729052,0.227851613141611,0.11809078009262,0.0823157605858792,0.159259664623626,0.0196801822655249,230523,27.3249118281365,0.124103574282735,0.10663432836428,0.14268251557073,0.00920091020024186
AMR,2002,292115.606241163,263073.97894513,322655.306782586,853827304,34.2124929564402,30.8111462016598,37.7892936043406,1.78059534792251,261314.131768889,234825.582141257,289197.350872316,30.7829047204564,27.6625434378465,34.0675586010186,1.63436650074689,30421.953803558,21269.9845777159,41185.7894468435,3.5837177997449,2.50561232272153,4.85170175756221,0.599970223528711,25762.7357822828,24053.3201477834,27529.9970836563,3.01732395551066,2.8171177046106,3.22430507371737,0.103887040154669,7843.31527845266,5212.73289488045,11002.734599937,0.918606753579839,0.610513726893003,1.28863700521072,0.173533210302614,33606.0510607355,30306.2190836265,37073.9426045516,3.9359307090905,3.54945536897782,4.3420891356915,0.202253040001947,0.105032539528301,0.0718307839909239,0.143613905102467,0.0183644345227173,233742,27.3757935480592,0.115355287688285,0.0993778396636333,0.132344187082908,0.00841413365688451
AMR,2003,293517.843665747,264828.027630636,323661.366278039,863769755,33.9810281578737,30.6595624699357,37.4707917711288,1.73798915765778,264990.629403004,238695.493894103,292639.512411372,30.8393838895082,27.7791784014404,34.0571373592523,1.60192864202205,28333.1494899019,19575.9116238254,38683.7959770506,3.29738782041628,2.27822793173605,4.50198724810514,0.568771787200742,25097.9363891331,23641.4140167473,26597.3810716224,2.90562806162773,2.73700414721598,3.07922116022949,0.0873087778048658,7100.78099338962,4746.21335222065,9922.10451200445,0.822068722861178,0.549476677638551,1.14869783927598,0.153330045470994,32198.7173825228,29280.4753115257,35253.5879491131,3.72769678448891,3.38984725293208,4.08136401454726,0.176445247955043,0.0972899772488559,0.0658262147448433,0.13405805286338,0.0174582177293848,236327,27.3599531162098,0.10998631495757,0.0954509935987227,0.125404111365421,0.00764468955343983
AMR,2004,293325.972775902,264694.907447876,323405.643952044,873641475,33.5750970128681,30.2978870649286,37.0181193552016,1.71476875483298,265733.160758922,239424.757541603,293392.731471517,30.4487215686793,27.4342041400193,33.6180609350261,1.57791511031622,27516.4740681622,18855.4262832113,37788.5469245681,3.15294280570938,2.16052683570462,4.32995618802354,0.554934824865575,23818.6774767409,22494.1941466221,25180.5130619571,2.7263675269928,2.57476262177481,2.88224789945521,0.0784472606989526,6887.30136004207,4584.72416580006,9650.95700753275,0.788344138542881,0.524783254572484,1.10468164386687,0.148393976949948,30705.978836783,27898.7100090107,33645.8854122794,3.51471166553568,3.1933820459944,3.85122345665645,0.167853344042325,0.0941521326227411,0.0631992224467025,0.130453805574284,0.0172099614843344,236879,27.1139828841116,0.104955154360866,0.0910423344909415,0.11972186468073,0.0073196517687161
AMR,2005,286015.358449131,258872.943018268,314491.008958948,883568438,32.3704815776966,29.2985729101233,35.5932823574837,1.60616955155643,259386.034421536,234507.493698815,285500.387197712,29.384831537103,26.5664387517843,32.3432246469701,1.47402224872407,26566.1335016386,18044.5957115142,36709.6229314204,3.00957358509594,2.04420182574777,4.15868991573126,0.54094340502059,22759.0283774987,21543.8525631447,24007.0719055046,2.5758082111913,2.43827774245878,2.71705856309736,0.0711236201495833,6868.2900816319,4515.05753857154,9707.25071242289,0.777335380740693,0.511002582753136,1.09864163260468,0.150400903304807,29627.3184591306,26815.8726733305,32576.8971347881,3.35314359193199,3.03495139935391,3.68696930919438,0.16637007260347,0.0932016747027165,0.0620765623654866,0.129816706764456,0.0173360611301425,230212,26.0548012014888,0.10384148765606,0.0900279757391413,0.118507384090929,0.00726859767015953
AMR,2006,278801.046664564,252553.137654258,306327.524558157,893582992,31.2003528671194,28.2629750023552,34.280814127017,1.53551744272248,251801.598673922,227723.845051805,277071.582593406,28.1974388204874,25.5011454360534,31.0272414480993,1.41005351961983,26944.9455894542,18366.401665965,37141.4621714433,3.01736946382097,2.05672041025917,4.15920356661017,0.537847297596754,21974.9361705446,20578.4437188537,23416.6229675943,2.45919364706805,2.30291354055379,2.62053140863656,0.0810341733730653,7148.59058529216,4702.62047237638,10098.5870796641,0.799991791393916,0.526265664686731,1.13012301823937,0.154550315152381,29123.5267558368,26147.0750328736,32258.1006736899,3.25918543846197,2.92609363281991,3.60997254451884,0.174505980321467,0.0969437051180893,0.0647970431165564,0.134679237373756,0.0178834851613318,223230,24.9814513031824,0.10471290170456,0.0902917729192674,0.120056285547023,0.0075968449566569
AMR,2007,274387.287349559,249530.151498225,300407.330234418,903635546,30.3648178255218,27.6140256547882,33.2443020379388,1.43660342858619,248096.601057044,225120.660984526,272172.595807501,27.476765917292,24.9321743170339,30.143188871761,1.32963795922214,26243.6939800866,18874.8721115177,34807.9493946392,2.90649623261096,2.09039721026952,3.85498984469175,0.451108242300254,20923.529063875,19681.3813692837,22203.148281541,2.31548317864368,2.17802204178494,2.4570910672809,0.0711982912631942,6538.97693228623,4910.65048755762,8396.87497330882,0.723629892740655,0.543432638223997,0.929232477681751,0.0985800498125403,27462.5059961612,25350.7489243462,29657.5390910968,3.03911307138433,2.80541740932646,3.28202439826297,0.121602725708931,0.0959334606162641,0.0676982585967327,0.128432311882343,0.0155311753075656,219722,24.315333872446,0.100310687098368,0.0884827352914364,0.112784111181146,0.00620164144009343
AMR,2008,275532.665976022,251046.373883336,301141.703617993,913673060,30.1565929913729,27.4766089615618,32.9594596581399,1.39897617147454,248693.658521021,225903.654993891,272562.828038587,27.2403790701126,24.7441017674255,29.8548616010064,1.30405133454803,26778.1237231478,19246.5656141451,35533.9528259927,2.9331115451151,2.10815083201163,3.89217139912605,0.456078414855749,20783.2777655806,19638.3904661484,21960.1420903939,2.27469525757721,2.14938924281607,2.40350110469426,0.0648302653457821,6462.3159161649,4842.35525687672,8312.43072185777,0.707289751562216,0.529987746040878,0.909781746422267,0.0970477002115196,27245.5936817455,25195.395489675,29374.8398349261,2.98198500913943,2.75759421971739,3.2150274667096,0.116709979955227,0.0974720122674997,0.068776053685701,0.130492287073583,0.0157823979603733,222357,24.3366046055905,0.0990961560518942,0.0876434723081905,0.111161798633846,0.00600172186888968
AMR,2009,269576.062215202,246098.241256206,294107.871067008,923611483,29.1871709238161,26.6452123848493,31.8432453992138,1.32629340586146,246294.977971904,224132.067300953,269487.518100112,26.6793066228871,24.2785630335744,29.1915823279754,1.25358702517041,23249.0032531831,16206.0762252092,31542.7744116649,2.51839193626971,1.75548393364139,3.41679459806672,0.424866365184867,20181.5080150055,19101.7098580234,21290.5748575469,2.18506464963532,2.06815421956197,2.30514401882409,0.060461753385819,5515.34733179021,4070.60370122611,7176.11713781054,0.597150147362363,0.440726839818438,0.776962745688442,0.085931514618449,25696.8553467957,23829.7638670122,27633.3621385644,2.78221479699768,2.58006362043164,2.99188161333897,0.105070684908343,0.0864623750204992,0.0592539700883053,0.118184201600899,0.0150754093860969,217882,23.5902220804243,0.095520040268995,0.0847660334702312,0.106836807177422,0.00563221151083677
