g.whoregion,mid,hi,lo
EMR,0.554861191859812,0.608784057440573,0.499614925701272
AFR,0.530655871003287,0.582253994213771,0.478393914759607
AMR,0.560418661886466,0.615698579460854,0.503598027842193
EUR,0.52862560797746,0.586121881106157,0.470359628123102
SEA,0.571531096901502,0.624601465766653,0.516762687950861
WPR,0.575399616236128,0.629075900085097,0.519884058833167
